vor_id,area_sq,area_sqrt,sum_pop,mean_pop,max_pop,min_pop,occurances-accounting,occurances-airport,occurances-amusement_park,occurances-aquarium,occurances-art_gallery,occurances-atm,occurances-bakery,occurances-bank,occurances-bar,occurances-beauty_salon,occurances-bicycle_store,occurances-book_store,occurances-bus_station,occurances-cafe,occurances-campground,occurances-car_dealer,occurances-car_rental,occurances-car_repair,occurances-car_wash,occurances-cemetery,occurances-church,occurances-city_hall,occurances-clothing_store,occurances-convenience_store,occurances-courthouse,occurances-dentist,occurances-department_store,occurances-doctor,occurances-drugstore,occurances-electrician,occurances-electronics_store,occurances-embassy,occurances-finance,occurances-fire_station,occurances-florist,occurances-food,occurances-funeral_home,occurances-furniture_store,occurances-gas_station,occurances-general_contractor,occurances-grocery_or_supermarket,occurances-gym,occurances-hair_care,occurances-hardware_store,occurances-health,occurances-hindu_temple,occurances-home_goods_store,occurances-hospital,occurances-insurance_agency,occurances-jewelry_store,occurances-laundry,occurances-lawyer,occurances-library,occurances-local_government_office,occurances-locksmith,occurances-lodging,occurances-meal_delivery,occurances-meal_takeaway,occurances-mosque,occurances-movie_rental,occurances-movie_theater,occurances-moving_company,occurances-museum,occurances-night_club,occurances-painter,occurances-park,occurances-parking,occurances-pet_store,occurances-pharmacy,occurances-physiotherapist,occurances-place_of_worship,occurances-plumber,occurances-point_of_interest,occurances-police,occurances-post_office,occurances-premise,occurances-primary_school,occurances-real_estate_agency,occurances-restaurant,occurances-roofing_contractor,occurances-rv_park,occurances-school,occurances-secondary_school,occurances-shoe_store,occurances-shopping_mall,occurances-spa,occurances-stadium,occurances-storage,occurances-store,occurances-sublocality_level_2,occurances-supermarket,occurances-taxi_stand,occurances-tourist_attraction,occurances-train_station,occurances-transit_station,occurances-travel_agency,occurances-university,occurances-veterinary_care,occurances-zoo,price_leve-bakery,price_leve-bar,price_leve-book_store,price_leve-cafe,price_leve-car_dealer,price_leve-department_store,price_leve-food,price_leve-gas_station,price_leve-meal_delivery,price_leve-meal_takeaway,price_leve-moving_company,price_leve-point_of_interest,price_leve-restaurant,price_leve-school,price_leve-shoe_store,price_leve-store,rating-accounting,rating-airport,rating-amusement_park,rating-art_gallery,rating-atm,rating-bakery,rating-bank,rating-bar,rating-beauty_salon,rating-bicycle_store,rating-book_store,rating-bus_station,rating-cafe,rating-campground,rating-car_dealer,rating-car_rental,rating-car_repair,rating-car_wash,rating-cemetery,rating-church,rating-city_hall,rating-clothing_store,rating-convenience_store,rating-courthouse,rating-dentist,rating-department_store,rating-doctor,rating-drugstore,rating-electrician,rating-electronics_store,rating-embassy,rating-finance,rating-fire_station,rating-florist,rating-food,rating-funeral_home,rating-furniture_store,rating-gas_station,rating-general_contractor,rating-grocery_or_supermarket,rating-gym,rating-hair_care,rating-hardware_store,rating-health,rating-home_goods_store,rating-hospital,rating-insurance_agency,rating-jewelry_store,rating-laundry,rating-lawyer,rating-library,rating-local_government_office,rating-locksmith,rating-lodging,rating-meal_delivery,rating-meal_takeaway,rating-mosque,rating-movie_rental,rating-movie_theater,rating-moving_company,rating-museum,rating-night_club,rating-painter,rating-park,rating-parking,rating-pet_store,rating-pharmacy,rating-physiotherapist,rating-place_of_worship,rating-plumber,rating-point_of_interest,rating-police,rating-post_office,rating-premise,rating-primary_school,rating-real_estate_agency,rating-restaurant,rating-roofing_contractor,rating-rv_park,rating-school,rating-secondary_school,rating-shoe_store,rating-shopping_mall,rating-spa,rating-stadium,rating-storage,rating-store,rating-supermarket,rating-taxi_stand,rating-tourist_attraction,rating-train_station,rating-transit_station,rating-travel_agency,rating-university,rating-veterinary_care,rating-zoo,user_ratin-accounting,user_ratin-airport,user_ratin-amusement_park,user_ratin-aquarium,user_ratin-art_gallery,user_ratin-atm,user_ratin-bakery,user_ratin-bank,user_ratin-bar,user_ratin-beauty_salon,user_ratin-bicycle_store,user_ratin-book_store,user_ratin-bus_station,user_ratin-cafe,user_ratin-campground,user_ratin-car_dealer,user_ratin-car_rental,user_ratin-car_repair,user_ratin-car_wash,user_ratin-cemetery,user_ratin-church,user_ratin-city_hall,user_ratin-clothing_store,user_ratin-convenience_store,user_ratin-courthouse,user_ratin-dentist,user_ratin-department_store,user_ratin-doctor,user_ratin-drugstore,user_ratin-electrician,user_ratin-electronics_store,user_ratin-embassy,user_ratin-finance,user_ratin-fire_station,user_ratin-florist,user_ratin-food,user_ratin-funeral_home,user_ratin-furniture_store,user_ratin-gas_station,user_ratin-general_contractor,user_ratin-grocery_or_supermarket,user_ratin-gym,user_ratin-hair_care,user_ratin-hardware_store,user_ratin-health,user_ratin-hindu_temple,user_ratin-home_goods_store,user_ratin-hospital,user_ratin-insurance_agency,user_ratin-jewelry_store,user_ratin-laundry,user_ratin-lawyer,user_ratin-library,user_ratin-local_government_office,user_ratin-locksmith,user_ratin-lodging,user_ratin-meal_delivery,user_ratin-meal_takeaway,user_ratin-mosque,user_ratin-movie_rental,user_ratin-movie_theater,user_ratin-moving_company,user_ratin-museum,user_ratin-night_club,user_ratin-painter,user_ratin-park,user_ratin-parking,user_ratin-pet_store,user_ratin-pharmacy,user_ratin-physiotherapist,user_ratin-place_of_worship,user_ratin-plumber,user_ratin-point_of_interest,user_ratin-police,user_ratin-post_office,user_ratin-premise,user_ratin-primary_school,user_ratin-real_estate_agency,user_ratin-restaurant,user_ratin-roofing_contractor,user_ratin-rv_park,user_ratin-school,user_ratin-secondary_school,user_ratin-shoe_store,user_ratin-shopping_mall,user_ratin-spa,user_ratin-stadium,user_ratin-storage,user_ratin-store,user_ratin-sublocality_level_2,user_ratin-supermarket,user_ratin-taxi_stand,user_ratin-tourist_attraction,user_ratin-train_station,user_ratin-transit_station,user_ratin-travel_agency,user_ratin-university,user_ratin-veterinary_care,user_ratin-zoo
vor182,928956.2683068959,963.8237745080248,40066.28125,118.18962097167969,167.2021026611328,31.54451560974121,,,,,,,8.0,1.0,,1.0,,,,2.0,,1.0,1.0,3.0,1.0,2.0,1.0,,7.0,,,,1.0,1.0,,1.0,13.0,,,,,14.0,1.0,1.0,1.0,2.0,11.0,,5.0,1.0,3.0,,10.0,6.0,,5.0,,,,1.0,,1.0,,,17.0,,,,,1.0,,,1.0,,5.0,,2.0,,135.0,,,,,,8.0,,,15.0,1.0,1.0,2.0,,,2.0,6.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,4.12,4.5,,4.0,,,,4.2,,5.0,,4.8,4.5,,,,4.2,,,,,4.6,,3.9,4.466666666666667,,,,,4.245454545454546,,,3.8,,4.214285714285714,,3.8,4.1,5.0,4.3375,4.0,,3.9,,,,,,5.0,,,4.736363636363636,,,,,,,,4.0,,3.75,,5.0,,4.307936507936509,,,,,,4.5,,,4.59,,,,,,4.35,3.5,,,,,,,,,,,,,,,,127.0,2.0,,12.0,,,,12.0,,3.0,0.0,28.0,28.0,0.0,0.0,,7.0,,,,0.0,8.0,,36.0,31.0,,,,,142.0,0.0,0.0,341.0,0.0,58.0,,4.0,11.0,2.0,,83.0,5.0,,11.0,,,,0.0,,1.0,,,219.0,,,,,0.0,,,3.0,,5.0,,3.0,,1009.0,,,,,,137.0,,,59.0,0.0,0.0,0.0,,,4.0,24.0,,,,,,,,,,
vor183,928803.7826336488,963.7446667212478,31182.58984375,95.65211486816406,165.59751892089844,35.756309509277344,,,,,,,,2.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,4.0,,1.0,,,4.0,,,4.0,6.0,1.0,,,,2.0,,2.0,,,,,,,,,7.0,,,3.0,,,,,,,5.0,1.0,,,,,,111.0,1.0,,,,,2.0,,,1.0,,,1.0,,,9.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,5.0,,,4.1,3.0,5.0,,,,,4.0,,,,,,,,,4.720000000000001,,,4.5,,,,,,,3.5749999999999997,,,,,,,4.356716417910448,,,,,,,,,5.0,,,,,,3.5200000000000005,5.0,,,,,,,5.0,,,,,,,,,,15.0,72.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,2.0,,0.0,,,2.0,,,54.0,2.0,1.0,,,,0.0,,8.0,,,,,,,,,28.0,,,9.0,,,,,,,498.0,0.0,,,,,,1246.0,0.0,,,,,0.0,,,2.0,,,0.0,,,23.0,1.0,,,,,,,,1.0,,
vor185,928498.687604411,963.5863674857646,29199.552734375,86.64555358886719,148.1034698486328,22.246171951293945,,,,,,,,,,3.0,,,,,,,,1.0,,,,,2.0,,,,,1.0,1.0,,4.0,,,,,7.0,,,,,5.0,,,1.0,1.0,,5.0,1.0,,1.0,,,,,,1.0,,,9.0,,,,,,,1.0,,,1.0,,1.0,,90.0,,,,,1.0,2.0,,,11.0,1.0,1.0,1.0,,,3.0,2.0,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,,,5.0,,,4.25,,,,,4.733333333333333,,,,,4.666666666666667,,,,,4.25,5.0,,,,,,,,4.0,,,4.8999999999999995,,,,,,,4.0,,,,,,,4.591666666666668,,,,,,,,,5.0,,5.0,4.0,,,5.0,4.8,,,,,,,5.0,5.0,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,1.0,,,,,1.0,0.0,,9.0,,,,,27.0,,,,,21.0,,,0.0,0.0,,8.0,1.0,,0.0,,,,,,6.0,,,53.0,,,,,,,203.0,,,0.0,,0.0,,159.0,,,,,0.0,0.0,,,10.0,0.0,2.0,35.0,,,2.0,4.0,,,,,,,,19.0,2.0,
vor186,991120.8976327318,995.5505500137759,36389.421875,100.80171966552734,145.1993865966797,57.125,,,,,,,3.0,11.0,2.0,3.0,1.0,,,1.0,,,1.0,3.0,1.0,,,,7.0,,,,,4.0,1.0,2.0,16.0,,1.0,,,19.0,,4.0,4.0,1.0,7.0,,5.0,2.0,5.0,,8.0,6.0,1.0,2.0,,1.0,,2.0,,9.0,,,14.0,,1.0,,,,,,,1.0,9.0,,,,106.0,,,,2.0,2.0,15.0,,,22.0,2.0,,4.0,,,1.0,16.0,,2.0,,,,,,1.0,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,4.066666666666666,4.036363636363636,2.9,4.0,4.2,,,4.4,,,5.0,5.0,4.5,,,,4.725,,,,,5.0,5.0,3.0,4.4,,,,,4.281818181818182,,4.466666666666667,3.55,5.0,4.6,,4.133333333333334,,4.675,3.9799999999999995,4.45,,5.0,,,,4.0,,4.78,,,4.7727272727272725,,,,,,,,,4.2,4.725,,,,4.527906976744185,,,,,5.0,3.5555555555555554,,,4.545454545454546,3.7,,4.3999999999999995,,,5.0,4.427272727272728,4.15,,,,,,3.9,,,,,,,,,507.0,77.0,8.0,1.0,47.0,,,20.0,,,1.0,2.0,2.0,,,,21.0,,,,,1.0,2.0,1.0,28.0,,0.0,,,681.0,,7.0,110.0,2.0,30.0,,24.0,0.0,10.0,,34.0,20.0,0.0,1.0,,0.0,,4.0,,29.0,,,208.0,,0.0,,,,,,,5.0,27.0,,,,317.0,,,,0.0,1.0,1558.0,,,30.0,13.0,,31.0,,,1.0,23.0,,19.0,,,,,,35.0,,
vor187,763675.668838708,873.8853865574753,27010.21875,96.81082153320312,145.3452606201172,41.54443740844727,,,,,,,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,3.0,1.0,1.0,,,,,,,,,,2.0,4.0,,,,,5.0,,,,2.0,3.0,1.0,2.0,1.0,3.0,,10.0,2.0,,,,,,,,5.0,,,7.0,,,,,,,,1.0,,3.0,,1.0,,41.0,,,1.0,1.0,1.0,3.0,,,21.0,1.0,,5.0,,,1.0,4.0,,4.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,3.5,5.0,3.8,,4.3,,4.3,,,,5.0,,5.0,,,,,,,,,,5.0,4.5,,,,,5.0,,,,4.5,4.35,5.0,5.0,5.0,,3.266666666666667,,,,,,,,,4.65,,,5.0,,,,,,,,3.0,,5.0,,4.0,,4.673333333333333,,,,4.0,,5.0,,,4.554545454545454,,,3.3000000000000003,,,5.0,4.7,3.4,,,,,,4.7,,,,,,,,,,4.0,1.0,5.0,,11.0,,24.0,,,0.0,6.0,0.0,2.0,,,,,,,,,,2.0,5.0,,,,,2.0,,,,3.0,9.0,2.0,2.0,2.0,0.0,,31.0,0.0,,,,,,,,24.0,,,2.0,,,,,,,,1.0,,3.0,,27.0,,222.0,,,0.0,4.0,0.0,1.0,,,28.0,0.0,,14.0,,,1.0,15.0,,127.0,,,,,0.0,25.0,,
vor188,560411.3733714332,748.6062872908784,20331.4375,99.17774200439452,147.12060546875,41.2806510925293,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,4.0,,,,,,,,,4.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,3.5,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,3.9,,,,,,,4.0,4.4,,,,,,,,,,,3.85,,,,,,,,,,,,,,4.066666666666666,,,,,,,,,4.3500000000000005,,3.5,5.0,,,,,,,,,,,,,,,,,,,,6.0,21.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,621.0,0.0,,,,,,,3.0,5.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,16.0,,,,,,,,,17.0,,2.0,2.0,,,,,,,,,,,,,,
vor197,929292.5789261537,963.9982255824716,31217.515625,91.81622314453124,132.87547302246094,23.39570617675781,,,,,,,,,1.0,4.0,,1.0,,,,,,1.0,,4.0,1.0,,3.0,,,,,1.0,1.0,,8.0,,1.0,,1.0,8.0,,1.0,,4.0,10.0,,,,5.0,,8.0,2.0,,2.0,,,,1.0,,8.0,,,13.0,,,,,,,,,,7.0,,2.0,,44.0,,,1.0,1.0,1.0,6.0,,,22.0,1.0,,7.0,,,1.0,4.0,,4.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,5.0,5.0,,,,,,,,3.4,,5.0,,,4.3,,,,,,,,5.0,,,,,4.8999999999999995,,,,4.15,4.45,,,,5.0,4.5,3.3,,5.0,,,,,,4.225,,,4.688888888888889,,,,,,,,,,4.5,,5.0,,4.523076923076923,,,4.8,5.0,4.0,4.3,,,4.2,,,3.9,,,4.0,3.3,4.533333333333333,,,,,,3.9,,,,,,,,,,,1.0,6.0,,0.0,,,,,,5.0,,2.0,0.0,,11.0,,,,,0.0,0.0,,4.0,,0.0,,0.0,9.0,,0.0,,21.0,44.0,,,,1.0,,48.0,4.0,,4.0,,,,0.0,,17.0,,,78.0,,,,,,,,,,9.0,,3.0,,135.0,,,5.0,1.0,5.0,162.0,,,19.0,0.0,,61.0,,,1.0,6.0,,22.0,,,,,,70.0,,
vor198,929140.6358120907,963.9194135466361,37132.515625,109.2132797241211,136.47335815429688,79.378173828125,,,,,,,4.0,4.0,,6.0,,2.0,,,,1.0,3.0,8.0,2.0,,1.0,,2.0,,,3.0,1.0,3.0,1.0,1.0,11.0,,1.0,,1.0,9.0,,6.0,1.0,7.0,5.0,1.0,1.0,4.0,14.0,,12.0,8.0,,,,1.0,,4.0,,6.0,,,18.0,,,,,,,6.0,2.0,,7.0,,1.0,,161.0,1.0,,,,2.0,15.0,,,25.0,1.0,,5.0,,,2.0,4.0,2.0,5.0,,,,3.0,2.0,2.0,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,4.2,4.0,,3.9333333333333336,,4.1,,,,,4.8,4.5,3.2,,5.0,,5.0,,,3.75,4.2,5.0,,4.9,4.644444444444444,,5.0,,5.0,3.757142857142857,,4.633333333333334,4.1,5.0,4.325,3.8,,3.8666666666666667,4.688888888888889,4.2250000000000005,3.814285714285714,,,,,,,,4.875,,,4.642857142857143,,,,,,,2.2,,,4.08,,5.0,,4.381927710843373,4.0,,,,,4.369999999999999,,,4.25,4.8,,3.8,,,4.85,4.2,4.633333333333333,,,,4.2,5.0,4.0,,,,,,,,,31.0,35.0,,150.0,,84.0,,,,0.0,45.0,387.0,7.0,,1.0,,2.0,,,12.0,11.0,3.0,0.0,13.0,241.0,,2.0,,4.0,30.0,,95.0,594.0,9.0,54.0,5.0,0.0,15.0,72.0,,102.0,66.0,,,,0.0,,0.0,,13.0,,,261.0,,,,,,,10.0,0.0,,26.0,,1.0,,1414.0,31.0,,,,0.0,77.0,,,186.0,26.0,,103.0,,,4.0,67.0,0.0,11.0,,,,26.0,1.0,9.0,,
vor199,928988.6510475902,963.8405734599422,42139.8046875,123.94060516357422,156.68649291992188,84.13232421875,,,,,,3.0,2.0,4.0,,5.0,,,,,,5.0,,9.0,1.0,2.0,,,2.0,,,1.0,,1.0,,1.0,5.0,,2.0,,,11.0,,5.0,1.0,3.0,1.0,1.0,,2.0,9.0,,3.0,,,,1.0,1.0,3.0,1.0,,33.0,,,7.0,,,,,,,4.0,2.0,,,,,,117.0,,,1.0,,4.0,13.0,,,9.0,2.0,,,1.0,,,3.0,,1.0,,,,1.0,1.0,11.0,1.0,,2.0,,,,,,2.0,2.0,,,,,1.0,,,,,,,,3.7000000000000006,4.2,3.65,,4.2,,,,,,4.38,,3.9499999999999997,,,,,,,,,,4.5,,4.6,4.425,,3.3,,,4.490909090909091,,4.075,4.1,4.633333333333334,,5.0,,3.9,4.54,4.65,,,,,4.0,4.55,,,4.173076923076923,,,4.7,,,,,,,4.25,3.8,,,,,,4.4282051282051285,,,,,5.0,4.33076923076923,,,4.471428571428571,4.5,,,4.3,,,4.2,5.0,,,,4.3,4.8,4.289999999999999,4.0,,,,,,,15.0,975.0,104.0,,139.0,,,,,,72.0,,145.0,0.0,0.0,,,0.0,,,0.0,,10.0,,14.0,10.0,,3.0,,,715.0,,27.0,250.0,10.0,0.0,5.0,,9.0,21.0,,24.0,,,,0.0,293.0,82.0,0.0,,566.0,,,426.0,,,,,,,171.0,322.0,,,,,,2512.0,,,0.0,,1.0,1372.0,,,257.0,25.0,,,6.0,,,6.0,,2.0,,,,21.0,24.0,3650.0,2.0,
vor200,928836.6246820185,963.7617053411172,45613.13671875,126.70315551757812,169.57131958007812,88.91939544677734,4.0,,,,,2.0,2.0,5.0,,6.0,,4.0,,1.0,,3.0,,3.0,,1.0,,,4.0,,,,1.0,5.0,,,3.0,,2.0,,,6.0,,,1.0,4.0,6.0,1.0,2.0,1.0,11.0,,6.0,6.0,,,,,,,,9.0,,,2.0,,,,,,,4.0,,,2.0,,,,137.0,,,,,3.0,10.0,,,19.0,,1.0,3.0,,,2.0,3.0,,,,,,,3.0,7.0,,,2.0,,,,,,,,,,,,2.0,,,,4.833333333333333,,,,4.5,3.95,3.4,,4.5,,4.5,,4.5,,4.75,,4.533333333333333,,,,,3.65,,,,4.4,4.766666666666667,,,4.45,,4.35,,,4.0,,,3.9,4.35,2.966666666666667,4.5,5.0,1.0,4.6,4.4,3.8333333333333335,,,,,,,,4.3125,,,4.8,,,,,,,4.449999999999999,,,4.9,,,,4.442528735632184,,,,,4.666666666666667,4.4625,,,4.253846153846154,,5.0,3.8333333333333335,,,3.9,4.0,,,,,,4.1000000000000005,4.133333333333333,,,26.0,,,,,4.0,1623.0,39.0,,374.0,,23.0,,8.0,,24.0,,76.0,,0.0,,,4.0,,,,7.0,11.0,,,338.0,,11.0,,,55.0,,,213.0,14.0,146.0,89.0,1.0,1.0,172.0,,6.0,81.0,,,,,,,,110.0,,,166.0,,,,,,,176.0,,,7.0,,,,2834.0,,,,,16.0,12216.0,,,179.0,,10.0,252.0,,,7.0,75.0,,,,,,,5.0,789.0,,
vor201,928684.5567662688,963.6828092096843,40967.3359375,120.4921646118164,151.6754913330078,68.38466644287111,,,,,,1.0,2.0,1.0,1.0,1.0,,,,2.0,,6.0,,2.0,,,,,4.0,,,,,5.0,,,1.0,,,,,12.0,,1.0,,2.0,4.0,3.0,2.0,,17.0,,3.0,8.0,,,,,1.0,,,16.0,,,5.0,,,,,,,4.0,2.0,,6.0,1.0,,,101.0,,,,,,7.0,,,9.0,,,3.0,,,,2.0,,,,,,1.0,1.0,9.0,,,,,,,,,,,,,,,2.0,,,,,,,,3.9,4.4,1.7,4.9,5.0,,,,4.1,,4.2,,,,,,,5.0,,,,,4.633333333333334,,,5.0,,,,,4.328571428571428,,4.9,,4.1,4.5,4.466666666666667,4.05,,4.442857142857143,4.566666666666666,4.119999999999999,,,,,4.0,,,4.1000000000000005,,,4.6,,,,,,,3.6500000000000004,4.7,,3.8,3.9,,,4.3812500000000005,,,,,,4.542857142857143,,,4.38,,,3.733333333333333,,,,4.75,,,,,4.5,4.9,4.4375,,,,,,,,22.0,104.0,18.0,11.0,2.0,,,,14.0,,439.0,,0.0,,,,,3.0,,,,,47.0,,,2.0,,,,,31.0,,17.0,,27.0,8.0,14.0,69.0,,937.0,,184.0,132.0,,,,,1.0,,,498.0,,,179.0,,,,,,,505.0,6.0,,55.0,462.0,,,1437.0,,,,,,1774.0,,,42.0,,,78.0,,,,24.0,,,,,,2.0,8.0,1590.0,,
vor202,928532.4473503561,963.6038850847148,30162.130859375,88.71215057373047,150.65199279785156,49.44862747192383,,,,,,,,2.0,,2.0,,,,3.0,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,3.0,,,,2.0,,1.0,,,2.0,,1.0,2.0,,,,,,2.0,,1.0,,,,,,,1.0,,,1.0,3.0,,,,2.0,,52.0,,,1.0,,,1.0,,,11.0,2.0,,,,1.0,,,,,,,,,,6.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,4.4,,,,,,4.333333333333333,,,,,,3.3,,,,,,,,,,,,,,,,5.0,,,,5.0,,4.5,,,5.0,,4.2,,,,,,5.0,,4.4,,,,,,,4.6,,,4.5,,,,,4.6,,4.336111111111112,,,,,,4.5,,,4.411111111111111,4.199999999999999,,,,4.0,,,,,,,,,4.2,,,,,,,,,,15.0,,0.0,,,,70.0,,,,,,8.0,,,,,,,,0.0,,,,,0.0,,,1.0,,,,2.0,,4.0,,,1.0,,0.0,5.0,,,,,,5.0,,1019.0,,,,,,,16.0,,,8.0,0.0,,,,66.0,,1414.0,,,0.0,,,30.0,,,91.0,58.0,,,,23.0,,,,,,,,,,1098.0,,
vor203,928380.296484216,963.5249329852425,43373.359375,128.32354736328122,154.9580535888672,84.01058197021484,1.0,,,,,4.0,2.0,12.0,1.0,8.0,,4.0,,2.0,,1.0,,,1.0,2.0,1.0,,18.0,,,,,1.0,1.0,1.0,8.0,,7.0,,,11.0,,2.0,,2.0,3.0,6.0,1.0,,16.0,,3.0,4.0,,,1.0,,,1.0,,4.0,,,1.0,,,,1.0,,,2.0,1.0,,,,1.0,,130.0,1.0,1.0,,,7.0,6.0,,,16.0,1.0,7.0,4.0,,,1.0,4.0,2.0,,,,,,4.0,10.0,,,2.0,,,,,,1.0,,,,,,2.0,,,,,,,,2.9333333333333336,4.1,3.35,,4.283333333333333,,4.5,,4.35,,3.8,,,3.8,4.3,,,4.413333333333332,,,,,5.0,5.0,,4.075,,4.4,,,4.311111111111112,,5.0,,5.0,4.550000000000001,3.62,4.0,,4.223076923076923,4.0,4.5,,,,,,5.0,,4.4,,,4.7,,,,4.5,,,4.05,4.0,,,,4.0,,4.412121212121213,3.9,3.7,,,4.9399999999999995,4.58,,,4.24,2.0,4.249999999999999,4.533333333333334,,,,4.0,,,,,,5.0,3.788888888888889,,,0.0,,,,,8.0,335.0,202.0,0.0,616.0,,311.0,,35.0,,15.0,,,75.0,18.0,0.0,,4040.0,,,,,3.0,3.0,0.0,26.0,,26.0,,,676.0,,1.0,,2.0,38.0,132.0,5.0,,105.0,,1.0,2.0,,,0.0,,,1.0,,55.0,,,123.0,,,,2.0,,,571.0,3.0,,,,1.0,,1648.0,14.0,29.0,,,23.0,3783.0,,,48.0,1.0,593.0,122.0,,,0.0,7.0,0.0,,,,,,3.0,287.0,,
vor204,928228.104218466,963.4459529306592,34233.375,100.68639373779295,129.062255859375,80.7794418334961,,,,,,1.0,5.0,5.0,,3.0,,2.0,,2.0,,2.0,1.0,5.0,1.0,,,,3.0,,,1.0,,3.0,,2.0,8.0,,1.0,,,16.0,,,1.0,1.0,6.0,,2.0,,10.0,,6.0,8.0,,4.0,,,,1.0,1.0,8.0,,,10.0,,,,,,,3.0,1.0,,8.0,,1.0,,99.0,,,,2.0,,14.0,,1.0,24.0,1.0,1.0,3.0,,,,5.0,,1.0,,,,2.0,2.0,1.0,,,1.6666666666666667,,,,,,,,,,,,1.0,,,,,,,,3.8,4.325,3.8,,4.666666666666667,,4.8,,3.7,,,,3.6,3.7,,,,5.0,,,,,4.533333333333333,,4.8,3.625,,5.0,,,4.6461538461538465,,,3.9,,4.54,,4.0,,4.614285714285714,4.5,3.7399999999999998,,4.0,,,,5.0,5.0,4.65,,,4.5875,,,,,,,4.1000000000000005,4.0,,4.4,,4.0,,4.372857142857143,,,,4.1,,4.363636363636363,,3.7,4.41875,4.2,4.2,4.1,,,,3.5,5.0,,,,4.1,3.9,,,,,,,,,55.0,645.0,51.0,,4.0,,8.0,,26.0,,0.0,0.0,6.0,6.0,,,,1.0,,,0.0,,19.0,,5.0,7.0,,5.0,,,385.0,,,179.0,0.0,192.0,,1.0,,46.0,,10.0,27.0,,2.0,,,,1.0,5.0,19.0,,,512.0,,,,,,,1421.0,2.0,,22.0,,21.0,,2122.0,,,,25.0,,394.0,,23.0,165.0,26.0,222.0,24.0,,,,3.0,,2.0,,,,150.0,13.0,0.0,,
vor205,928075.8706043247,963.3669449406725,34342.734375,101.00804138183594,120.7366180419922,80.07706451416016,,,,,,,8.0,8.0,,1.0,,1.0,1.0,9.0,,6.0,1.0,6.0,1.0,1.0,,,8.0,,,2.0,,3.0,,,5.0,,2.0,,,17.0,,2.0,2.0,3.0,7.0,1.0,1.0,,10.0,,7.0,11.0,1.0,1.0,1.0,,1.0,,,6.0,,,8.0,,,1.0,,,,2.0,,4.0,7.0,,3.0,,116.0,,2.0,2.0,,1.0,27.0,,,24.0,1.0,1.0,5.0,,,,4.0,,1.0,,,,,,2.0,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,4.1375,3.4,,3.5,,4.5,4.1,5.0,,4.58,,4.483333333333333,3.6,,,,4.542857142857143,,,4.4,,5.0,,,4.3,,,,,4.266666666666667,,4.5,3.5999999999999996,5.0,4.616666666666667,,,,4.75,4.333333333333333,4.633333333333334,3.9,,5.0,,,,,5.0,,,4.85,,,5.0,,,,,,4.375,4.82,,,,4.3758064516129025,,4.1,,,3.5,4.082352941176471,,,4.264285714285714,4.1,3.0,4.375,,,,,4.5,,,,,,4.85,,,,,,,,,3615.0,75.0,,19.0,,14.0,40.0,4.0,,875.0,0.0,62.0,8.0,0.0,,,317.0,,,7.0,,2.0,,,37.0,,0.0,,,35.0,,30.0,247.0,1.0,322.0,0.0,0.0,,28.0,,54.0,25.0,29.0,0.0,2.0,,0.0,,,9.0,,,141.0,,,1.0,,,,0.0,,621.0,35.0,,0.0,,829.0,,29.0,0.0,,2.0,4402.0,,,89.0,8.0,1.0,197.0,,,,0.0,,19.0,,,,,,4.0,,
