,hhcode,Province,Region,PSU,itc,v1,psu,weight,district,stratum,code
46646,2012100106.0,Punjab,Urban,20121001.0,medical,15000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46647,2012100106.0,Punjab,Urban,20121001.0,medical,7000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46648,2012100106.0,Punjab,Urban,20121001.0,transport,15000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46649,2012100106.0,Punjab,Urban,20121001.0,Unknown,22000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46650,2012100106.0,Punjab,Urban,20121001.0,telecom,15000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46651,2012100106.0,Punjab,Urban,20121001.0,internet,36000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46652,2012100106.0,Punjab,Urban,20121001.0,bread_basic,200.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46653,2012100106.0,Punjab,Urban,20121001.0,bread_basic,150.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46654,2012100107.0,Punjab,Urban,20121001.0,bread_other,675.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46655,2012100107.0,Punjab,Urban,20121001.0,men_clothing,15000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46656,2012100107.0,Punjab,Urban,20121001.0,Unknown,25000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46657,2012100107.0,Punjab,Urban,20121001.0,women_clothing,5000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46658,2012100107.0,Punjab,Urban,20121001.0,Unknown,5000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46659,2012100107.0,Punjab,Urban,20121001.0,medical,18000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46660,2012100107.0,Punjab,Urban,20121001.0,medical,3000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46661,2012100107.0,Punjab,Urban,20121001.0,fuel,10000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46662,2012100107.0,Punjab,Urban,20121001.0,Unknown,500.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46663,2012100107.0,Punjab,Urban,20121001.0,internet,12000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46664,2012100107.0,Punjab,Urban,20121001.0,bread_basic,100.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46665,2012100107.0,Punjab,Urban,20121001.0,bread_basic,300.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46666,2012100109.0,Punjab,Urban,20121001.0,bread_other,120.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46667,2012100109.0,Punjab,Urban,20121001.0,men_clothing,16000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46668,2012100109.0,Punjab,Urban,20121001.0,rent,36000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46669,2012100109.0,Punjab,Urban,20121001.0,servant_parttime,70000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46670,2012100109.0,Punjab,Urban,20121001.0,medical,1200.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46671,2012100109.0,Punjab,Urban,20121001.0,fuel,14400.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46672,2012100109.0,Punjab,Urban,20121001.0,fuel,60000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46673,2012100109.0,Punjab,Urban,20121001.0,transport,3000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46674,2012100109.0,Punjab,Urban,20121001.0,transport,28800.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46675,2012100109.0,Punjab,Urban,20121001.0,telecom,24000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46676,2012100109.0,Punjab,Urban,20121001.0,bread_basic,200.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46677,2012100109.0,Punjab,Urban,20121001.0,bread_basic,750.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46678,2012100110.0,Punjab,Urban,20121001.0,bread_other,450.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46679,2012100110.0,Punjab,Urban,20121001.0,men_clothing,5000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46680,2012100110.0,Punjab,Urban,20121001.0,women_clothing,2000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46681,2012100110.0,Punjab,Urban,20121001.0,medical,15000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46682,2012100110.0,Punjab,Urban,20121001.0,medical,3000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46683,2012100110.0,Punjab,Urban,20121001.0,transport,30000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46684,2012100110.0,Punjab,Urban,20121001.0,transport,18000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46685,2012100110.0,Punjab,Urban,20121001.0,internet,36000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46686,2012100110.0,Punjab,Urban,20121001.0,bread_basic,300.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46687,2012100110.0,Punjab,Urban,20121001.0,bread_basic,80.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46688,2012100111.0,Punjab,Urban,20121001.0,bread_other,1350.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46689,2012100111.0,Punjab,Urban,20121001.0,men_clothing,15000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46690,2012100111.0,Punjab,Urban,20121001.0,Unknown,500.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46691,2012100111.0,Punjab,Urban,20121001.0,medical,3000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46692,2012100111.0,Punjab,Urban,20121001.0,medical,1400.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46693,2012100111.0,Punjab,Urban,20121001.0,fuel,12000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46694,2012100111.0,Punjab,Urban,20121001.0,transport,20000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46695,2012100111.0,Punjab,Urban,20121001.0,transport,15000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46696,2012100111.0,Punjab,Urban,20121001.0,Unknown,36000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46697,2012100111.0,Punjab,Urban,20121001.0,Unknown,20000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46698,2012100111.0,Punjab,Urban,20121001.0,internet,36000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46699,2012100111.0,Punjab,Urban,20121001.0,bread_basic,100.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46700,2012100111.0,Punjab,Urban,20121001.0,bread_basic,300.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46701,2012100112.0,Punjab,Urban,20121001.0,transport,6000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46702,2012100112.0,Punjab,Urban,20121001.0,transport,18000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46703,2012100112.0,Punjab,Urban,20121001.0,Unknown,14000.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46704,2012100112.0,Punjab,Urban,20121001.0,telecom,7200.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46705,2012100112.0,Punjab,Urban,20121001.0,bread_basic,200.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46706,2012100112.0,Punjab,Urban,20121001.0,bread_basic,180.0,20121001.0,2561.0233196159124,2012,ISLAMABAD,2012.0
46707,2012100501.0,Punjab,Urban,20121005.0,women_clothing,1000.0,20121005.0,1633.317362817363,2012,ISLAMABAD,2012.0
46708,2012100501.0,Punjab,Urban,20121005.0,fuel,960.0,20121005.0,1633.317362817363,2012,ISLAMABAD,2012.0
46709,2012100501.0,Punjab,Urban,20121005.0,medical,1500.0,20121005.0,1633.317362817363,2012,ISLAMABAD,2012.0
46710,2012100501.0,Punjab,Urban,20121005.0,medical,1200.0,20121005.0,1633.317362817363,2012,ISLAMABAD,2012.0
46711,2012100501.0,Punjab,Urban,20121005.0,transport,10800.0,20121005.0,1633.317362817363,2012,ISLAMABAD,2012.0
46712,2012100501.0,Punjab,Urban,20121005.0,telecom,4800.0,20121005.0,1633.317362817363,2012,ISLAMABAD,2012.0
46713,2012100502.0,Punjab,Urban,20121005.0,men_clothing,3000.0,20121005.0,1633.317362817363,2012,ISLAMABAD,2012.0
46714,2012100502.0,Punjab,Urban,20121005.0,women_clothing,9000.0,20121005.0,1633.317362817363,2012,ISLAMABAD,2012.0
46715,2012100502.0,Punjab,Urban,20121005.0,medical,8000.0,20121005.0,1633.317362817363,2012,ISLAMABAD,2012.0
46716,2012100502.0,Punjab,Urban,20121005.0,medical,2500.0,20121005.0,1633.317362817363,2012,ISLAMABAD,2012.0
46717,2012100502.0,Punjab,Urban,20121005.0,fuel,45000.0,20121005.0,1633.317362817363,2012,ISLAMABAD,2012.0
46718,2012100502.0,Punjab,Urban,20121005.0,transport,2000.0,20121005.0,1633.317362817363,2012,ISLAMABAD,2012.0
46719,2012100502.0,Punjab,Urban,20121005.0,telecom,6500.0,20121005.0,1633.317362817363,2012,ISLAMABAD,2012.0
46720,2012100503.0,Punjab,Urban,20121005.0,women_clothing,900.0,20121005.0,1633.317362817363,2012,ISLAMABAD,2012.0
46721,2012100503.0,Punjab,Urban,20121005.0,rent,24000.0,20121005.0,1633.317362817363,2012,ISLAMABAD,2012.0
46722,2012100503.0,Punjab,Urban,20121005.0,medical,1000.0,20121005.0,1633.317362817363,2012,ISLAMABAD,2012.0
46723,2012100503.0,Punjab,Urban,20121005.0,medical,300.0,20121005.0,1633.317362817363,2012,ISLAMABAD,2012.0
46724,2012100503.0,Punjab,Urban,20121005.0,transport,3000.0,20121005.0,1633.317362817363,2012,ISLAMABAD,2012.0
46725,2012100503.0,Punjab,Urban,20121005.0,telecom,6000.0,20121005.0,1633.317362817363,2012,ISLAMABAD,2012.0
46726,2012100504.0,Punjab,Urban,20121005.0,women_clothing,1000.0,20121005.0,1633.317362817363,2012,ISLAMABAD,2012.0
46727,2012100504.0,Punjab,Urban,20121005.0,rent,66000.0,20121005.0,1633.317362817363,2012,ISLAMABAD,2012.0
46728,2012100504.0,Punjab,Urban,20121005.0,medical,7000.0,20121005.0,1633.317362817363,2012,ISLAMABAD,2012.0
46729,2012100504.0,Punjab,Urban,20121005.0,medical,3000.0,20121005.0,1633.317362817363,2012,ISLAMABAD,2012.0
46730,2012100504.0,Punjab,Urban,20121005.0,fuel,40000.0,20121005.0,1633.317362817363,2012,ISLAMABAD,2012.0
