,vor_id,TDLinx,type,channel,turnover_int,turnover_obs,card_machine,Latitude,Longitude
16655,vor114,06433393,General Store,Grocery,Rank I,Rank I,No,31.425165852,74.230060579
16656,vor369,06433417,General Store,Grocery,Refused To Answer,Rank H,No,31.481779795,74.428969923
16657,vor320,06433708,General Store,Grocery,Refused To Answer,Rank L,No,31.446622359,74.390503838
16658,vor114,06433757,General Store,Grocery,Rank I,Rank I,No,31.425030633,74.229857836
16659,vor114,06434217,General Store,Grocery,Rank I,Rank I,No,31.424985608,74.229900932
16660,vor59,06434364,General Store,Grocery,Rank L,Rank J,No,31.402720158,74.158395913
16661,vor377,06434987,General Store,Grocery,Rank M,Rank K,No,31.614002155,74.419713282
16662,vor390,06435089,General Store,Grocery,Refused To Answer,Rank H,No,31.44862166,74.437542069
16663,vor136,06435159,General Store,Grocery,Rank M,Rank L,No,31.464352165,74.241742606
16664,vor116,06435167,General Store,Grocery,Rank J,Rank I,No,31.454598588,74.22744218
16665,vor369,06433421,Medical / General Store,Others,Refused To Answer,Rank H,No,31.481534895,74.428778077
16666,vor433,06436131,Medical / General Store,Others,Rank K,Rank J,No,31.491614598,74.47792547
16667,vor256,05484911,Take-Away Snacks,Catering,Refused To Answer,Rank I,No,31.559938093,74.323176128
16668,vor204,06123127,Take-Away Snacks,Catering,Rank H,Rank H,No,31.536457,74.290887
16669,vor182,05455460,Take-Away Snacks,Catering,Rank I,Rank J,No,31.56456206,74.282218202
16670,vor206,05455736,Medical / General Store,Others,Rank I,Rank J,No,31.566070394,74.28741391
16671,vor327,06036029,General Store,Grocery,Refused To Answer,Rank G,No,31.554232,74.391527
16672,vor203,05998633,Take-Away Snacks,Catering,Rank J,Rank J,No,31.51621549,74.288639014
16673,vor155,06077802,Take-Away Snacks,Catering,Rank L,Rank J,No,31.467121782,74.260250744
16674,vor299,06087309,Medical / General Store,Others,Rank G,Rank G,No,31.493614949,74.371440918
16675,vor157,06088439,Medical / General Store,Others,Rank I,Rank I,No,31.499843,74.259983
16676,vor345,06129082,Take-Away Snacks,Catering,Rank F,Rank F,No,31.470189993,74.406124752
16677,vor98,06435702,Take-Away Snacks,Catering,Rank L,Rank K,No,31.438171478,74.212521484
16678,vor282,05665234,Eating Places,Catering,Refused To Answer,Rank J,No,31.589294036,74.351139027
16679,vor174,06076159,Eating Places,Catering,Rank K,Rank J,No,31.43677322,74.268442573
16680,vor391,06122303,Eating Places,Catering,Rank H,Rank G,No,31.468911283,74.430057044
16681,vor233,06151831,Eating Places,Catering,Rank L,Rank J,No,31.579578,74.305321
16682,vor367,06161062,General Store,Grocery,Rank J,Rank I,No,31.452389,74.413003
16683,vor367,06161100,General Store,Grocery,Rank I,Rank I,No,31.450726,74.415726
16684,vor235,05674195,General Store,Grocery,Rank I,Rank H,No,31.600020897,74.313008365
16685,vor281,05677962,General Store,Grocery,Rank J,Rank J,No,31.583233,74.342038
16686,vor258,05681843,General Store,Grocery,Rank L,Rank K,No,31.587079,74.33785
16687,vor373,06134604,General Store,Grocery,Refused To Answer,Rank H,No,31.544458,74.421653
16688,vor373,06134617,General Store,Grocery,Refused To Answer,Rank H,No,31.54328,74.423362
16689,vor296,06134669,General Store,Grocery,Rank M,Rank G,No,31.447323954,74.361616027
16690,vor296,06134670,General Store,Grocery,Rank F,Rank F,No,31.447373231,74.361528727
16691,vor273,06138621,General Store,Grocery,Rank K,Rank K,No,31.458822464,74.352675296
16692,vor43,05761592,General Store,Grocery,Refused To Answer,Rank I,No,31.298938,74.136644
16693,vor367,06435184,Kiosk,Catering,Refused To Answer,Rank L,No,31.448717248,74.420530194
16694,vor134,06435808,Eating Places,Catering,Rank K,Rank J,No,31.433264471,74.231700742
16695,vor186,05458340,Eating Places,Catering,Rank G,Rank H,No,31.617503851,74.280054122
16696,vor164,05466080,Eating Places,Catering,Rank H,Rank H,No,31.609566755,74.248714018
16697,vor164,05466138,Kiosk,Catering,Rank J,Rank J,No,31.602853786,74.251205824
16698,vor280,05522936,General Store,Grocery,Rank H,Rank G,No,31.566668865,74.348005201
16699,vor374,05710750,Kiryana Store,Grocery,Rank I,Rank I,No,31.558788003,74.412559937
16700,vor352,05670729,General Store,Grocery,Rank F,Rank F,No,31.581725241,74.39807048
16701,vor132,06435501,General Store,Grocery,Refused To Answer,Rank K,No,31.413681476,74.231967217
16702,vor113,06435504,General Store,Grocery,Refused To Answer,Rank K,No,31.413837219,74.231409079
16703,vor169,06435616,General Store,Grocery,Rank G,Rank G,No,31.358428775,74.282630867
16704,vor169,06435623,General Store,Grocery,Rank G,Rank G,No,31.358522988,74.28225893
16705,vor169,06435626,General Store,Grocery,Rank G,Rank G,No,31.358516646,74.282424014
16706,vor134,06435767,General Store,Grocery,Rank J,Rank H,No,31.43329447,74.231669224
16707,vor134,06435772,General Store,Grocery,Rank I,Rank I,No,31.433067045,74.231888769
16708,vor134,06435775,General Store,Grocery,Rank J,Rank I,No,31.433200053,74.231845898
16709,vor430,06435866,General Store,Grocery,Rank I,Rank I,No,31.440943059,74.471347741
16710,vor146,06436003,General Store,Grocery,Refused To Answer,Rank H,No,31.336651226,74.253113258
16711,vor96,06436143,General Store,Grocery,Rank G,Rank G,No,31.412255359,74.213146169
16712,vor113,06436184,General Store,Grocery,Rank G,Rank G,No,31.413127159,74.214262948
16713,vor153,06436288,General Store,Grocery,Rank M,Rank M,No,31.431800434,74.252878858
16714,vor153,06436309,General Store,Grocery,Rank H,Rank G,No,31.435929552,74.255733445
16715,vor98,06436360,General Store,Grocery,Rank K,Rank J,No,31.436250782,74.203356808
16716,vor98,06436362,General Store,Grocery,Rank L,Rank J,No,31.436408475,74.203585424
16717,vor98,06436366,General Store,Grocery,Rank M,Rank K,No,31.437198085,74.208480339
