vor_id,res_value_sqyard,com_value_sqyard
vor226,3600.0,5400.0
vor227,3600.0,5400.0
vor228,3600.0,5400.0
vor229,3600.0,5400.0
vor230,3600.0,5400.0
vor231,3600.0,5400.0
vor232,3600.0,5400.0
vor233,3600.0,5400.0
vor234,3600.0,5400.0
vor235,3600.0,5400.0
vor236,3600.0,5400.0
vor237,3600.0,5400.0
vor238,48000.0,64800.0
vor239,48000.0,64800.0
vor240,48000.0,64800.0
vor241,48000.0,64800.0
vor242,48000.0,64800.0
vor243,4800.0,7560.0
vor244,38400.0,81000.0
vor245,38400.0,64800.0
vor246,13200.0,42000.0
vor247,7200.0,12000.0
vor248,24000.0,42000.0
vor249,24000.0,42000.0
vor250,24000.0,42000.0
vor251,7200.0,12000.0
vor252,7200.0,12000.0
vor253,7200.0,12000.0
vor254,3600.0,5400.0
vor255,3600.0,5400.0
vor256,3600.0,5400.0
vor257,3600.0,5400.0
vor258,3600.0,5400.0
vor259,3600.0,5400.0
vor260,3600.0,5400.0
vor261,3600.0,5400.0
vor262,3600.0,5400.0
vor263,3600.0,5400.0
vor264,3600.0,5400.0
vor265,3600.0,5400.0
vor266,3600.0,5400.0
vor267,48000.0,64800.0
vor268,48000.0,64800.0
vor269,48000.0,64800.0
vor270,48000.0,64800.0
vor271,48000.0,64800.0
vor272,13200.0,21600.0
vor273,13200.0,21600.0
vor274,38400.0,64800.0
vor275,4800.0,7560.0
vor276,24000.0,42000.0
vor277,24000.0,42000.0
vor278,38400.0,64800.0
vor279,38400.0,64800.0
vor280,24000.0,42000.0
vor281,24000.0,42000.0
vor282,3600.0,5400.0
vor283,3600.0,5400.0
vor284,3600.0,5400.0
vor285,3600.0,5400.0
vor286,3600.0,5400.0
vor287,3600.0,5400.0
vor288,3600.0,5400.0
vor289,3600.0,5400.0
vor290,3600.0,5400.0
vor291,3600.0,5400.0
vor292,3600.0,5400.0
vor293,3600.0,5400.0
vor294,3600.0,5400.0
vor295,3600.0,5400.0
vor296,3600.0,5400.0
vor297,48000.0,64800.0
vor298,48000.0,64800.0
vor299,48000.0,64800.0
vor300,48000.0,64800.0
vor301,13200.0,21600.0
vor302,13200.0,21600.0
vor303,38400.0,81000.0
vor304,4800.0,7560.0
vor305,4800.0,7560.0
vor306,38400.0,64800.0
