area,res_value_marla,com_value_marla,address
TOWNSHIP SCHEME,"563,580","960,300","TOWNSHIP+SCHEME,LAHORE+,PAKISTAN"
MUZAMIL TOWN CHUNG PUNJGRAIN,"435,150","712,200","MUZAMIL+TOWN+CHUNG+PUNJGRAIN,LAHORE+,PAKISTAN"
NASHMAN RIAZ MANGA MANDI MANGA OTHAR,"149,250","298,500","NASHMAN+RIAZ+MANGA+MANDI+MANGA+OTHAR,LAHORE+,PAKISTAN"
NATIONAL INDUSTRIAL FINANC SOCIETY(KHAMBA),"268,650","588,600","NATIONAL+INDUSTRIAL+FINANC+SOCIETY(KHAMBA),LAHORE+,PAKISTAN"
NEW BILAL TOWN (CHUNG PUNJGRAIN),"413,700","708,000","NEW+BILAL+TOWN+(CHUNG+PUNJGRAIN),LAHORE+,PAKISTAN"
NEW LAHROE CITY (SULTANKAY /SUNDAR),"138,750","200,550","NEW+LAHROE+CITY+(SULTANKAY+/SUNDAR),LAHORE+,PAKISTAN"
PAKISTAN ATOMIC ENERGY COMMISSIONSOCIETY (MARAKA),"198,450","444,000","PAKISTAN+ATOMIC+ENERGY+COMMISSIONSOCIETY+(MARAKA),LAHORE+,PAKISTAN"
PAKISTAN EXPATRIATE SOCIETY,"550,800","913,200","PAKISTAN+EXPATRIATE+SOCIETY,LAHORE+,PAKISTAN"
PARK VIEW / RIVER EDGE (KANJRA),"401,100","633,600","PARK+VIEW+/+RIVER+EDGE+(KANJRA),LAHORE+,PAKISTAN"
POSTAL EMPLOYEERS COOPERTIVE (JILYANA),"145,050","204,750","POSTAL+EMPLOYEERS+COOPERTIVE+(JILYANA),LAHORE+,PAKISTAN"
PUNJAB WORKERS WELFARE SOCEITY(MUSALA),"181,200","409,500","PUNJAB+WORKERS+WELFARE+SOCEITY(MUSALA),LAHORE+,PAKISTAN"
REHMANABAD (AJODHIAPUR),"477,600","942,600","REHMANABAD+(AJODHIAPUR),LAHORE+,PAKISTAN"
RIVER REVIEW HOUSING SCHEME (RAKHKHAMBA),"302,700","592,800","RIVER+REVIEW+HOUSING+SCHEME+(RAKHKHAMBA),LAHORE+,PAKISTAN"
SAMAN BERG (MUHAMMAD SULTANABAD /JOGEENPURA),"555,000","913,200","SAMAN+BERG+(MUHAMMAD+SULTANABAD+/JOGEENPURA),LAHORE+,PAKISTAN"
SUI GAS SOCIETY (CHUNG PUNJGRAIN),"392,250","662,400","SUI+GAS+SOCIETY+(CHUNG+PUNJGRAIN),LAHORE+,PAKISTAN"
WAPDA FINANCE SOCIETY(RAIWIND),"149,250","234,600","WAPDA+FINANCE+SOCIETY(RAIWIND),LAHORE+,PAKISTAN"
ALPHA COOPERATIVE SOCIETY,"534,000","854,400","ALPHA+COOPERATIVE+SOCIETY,LAHORE+,PAKISTAN"
KHAYANAN E QUAID NIAZ BEG,"392,700","561,600","KHAYANAN+E+QUAID+NIAZ+BEG,LAHORE+,PAKISTAN"
(2),(3),(4),"(2),LAHORE+,PAKISTAN"
AL FAISAL TOWN,"379,200","931,200","AL+FAISAL+TOWN,LAHORE+,PAKISTAN"
ALLAMA IQBAL ROAD,"609,600","1,392,000","ALLAMA+IQBAL+ROAD,LAHORE+,PAKISTAN"
AMEER UD DIN PARK,"456,000","768,000","AMEER+UD+DIN+PARK,LAHORE+,PAKISTAN"
AMIR TOWN,"384,000","768,000","AMIR+TOWN,LAHORE+,PAKISTAN"
ARAAZI SEHJPAAL (EXCLUDING D.H.A),"369,600","609,600","ARAAZI+SEHJPAAL+(EXCLUDING+D.H.A),LAHORE+,PAKISTAN"
ARIF ABAD NEAR BEDIAN ROAD,"268,800","544,800","ARIF+ABAD+NEAR+BEDIAN+ROAD,LAHORE+,PAKISTAN"
BAHAR SHAH ROAD,"444,000","892,800","BAHAR+SHAH+ROAD,LAHORE+,PAKISTAN"
"BEDIAN ROAD, BHATTA CHOWK TO OFFICEELITE TOWN","660,000","1,020,000","BEDIAN+ROAD,+BHATTA+CHOWK+TO+OFFICEELITE+TOWN,LAHORE+,PAKISTAN"
BEDIAN ROAD R.A BAZAR TO BHATTA CHOWK,"681,600","1,123,200","BEDIAN+ROAD+R.A+BAZAR+TO+BHATTA+CHOWK,LAHORE+,PAKISTAN"
BRIDGE COLONY,"700,800","1,449,600","BRIDGE+COLONY,LAHORE+,PAKISTAN"
C.M.A COLONY,"676,800","1,233,600","C.M.A+COLONY,LAHORE+,PAKISTAN"
"CANAL BANK ROAD, BOTH SIDES","628,800","1,358,400","CANAL+BANK+ROAD,+BOTH+SIDES,LAHORE+,PAKISTAN"
CANAL PARK & NEW CANAL,"465,600","912,000","CANAL+PARK+&+NEW+CANAL,LAHORE+,PAKISTAN"
CANTONMENT ROADS,"888,000","1,459,200","CANTONMENT+ROADS,LAHORE+,PAKISTAN"
C HAND! AN,"273,600","715,200","C+HAND!+AN,LAHORE+,PAKISTAN"
CHUNG KHURD (L.C.B).,"398,400","1,291,200","CHUNG+KHURD+(L.C.B).,LAHORE+,PAKISTAN"
DEVI PURA (UC 43),"360,000","700,800","DEVI+PURA+(UC+43),LAHORE+,PAKISTAN"
DEFENCE ROAD (BHATTA CHOWK TOMEHFOOZPURA),"979,200","1,814,400","DEFENCE+ROAD+(BHATTA+CHOWK+TOMEHFOOZPURA),LAHORE+,PAKISTAN"
FATEH GHAR AND ADJOINING AREAS,"446,400","705,600","FATEH+GHAR+AND+ADJOINING+AREAS,LAHORE+,PAKISTAN"
GUL DASHT TOWN,"624,000","892,800","GUL+DASHT+TOWN,LAHORE+,PAKISTAN"
GULISTAN COLONY,"532,800","1,044,000","GULISTAN+COLONY,LAHORE+,PAKISTAN"
GUNJ,"633,600","1,084,800","GUNJ,LAHORE+,PAKISTAN"
GURU MAANGAT (L.C.B),"672,000","1,204,800","GURU+MAANGAT+(L.C.B),LAHORE+,PAKISTAN"
HERBANSPURA,"571,200","1,204,800","HERBANSPURA,LAHORE+,PAKISTAN"
INFANTRY ROAD,"830,400","1,233,600","INFANTRY+ROAD,LAHORE+,PAKISTAN"
JHUGGIAN ALFA,"472,800","801,600","JHUGGIAN+ALFA,LAHORE+,PAKISTAN"
JORAY BRIDGE TO HERBANSPURA BRIDGE,"595,200","1,375,200","JORAY+BRIDGE+TO+HERBANSPURA+BRIDGE,LAHORE+,PAKISTAN"
KOHAAR & ADJOINING AREAS,"355,200","902,400","KOHAAR+&+ADJOINING+AREAS,LAHORE+,PAKISTAN"
KOTLI PEER ABDUL REHMAN,"475,200","600,000","KOTLI+PEER+ABDUL+REHMAN,LAHORE+,PAKISTAN"
LIDHAR & ADJOINING AREAS',"580,800","820,800","LIDHAR+&+ADJOINING+AREAS',LAHORE+,PAKISTAN"
MALIK PUR,"744,000","1,171,200","MALIK+PUR,LAHORE+,PAKISTAN"
MIAN MEER,"849,600","1,008,000","MIAN+MEER,LAHORE+,PAKISTAN"
MUGHALPURA,"782,400","1,209,600","MUGHALPURA,LAHORE+,PAKISTAN"
MUSTAFA ABAD DHARAMPURA MAIN BAZAAR,-,"763,200","MUSTAFA+ABAD+DHARAMPURA+MAIN+BAZAAR,LAHORE+,PAKISTAN"
MUSTAFA ABAD,"787,200","993,600","MUSTAFA+ABAD,LAHORE+,PAKISTAN"
NADIR ABAD (SEHJPAL),"516,000","883,200","NADIR+ABAD+(SEHJPAL),LAHORE+,PAKISTAN"
NIZAM ABAD HERBANSPURA,"441,600","748,800","NIZAM+ABAD+HERBANSPURA,LAHORE+,PAKISTAN"
NOOR PUR KAMBOHAN (MUSTAFABAD),"619,200","715,200","NOOR+PUR+KAMBOHAN+(MUSTAFABAD),LAHORE+,PAKISTAN"
OFFICER COLONY GHAZI ROAD,"748,800","1,176,000","OFFICER+COLONY+GHAZI+ROAD,LAHORE+,PAKISTAN"
RASHEED PURA,"393,600","801,600","RASHEED+PURA,LAHORE+,PAKISTAN"
SADAR BAZAR,"667,200","1,425,600","SADAR+BAZAR,LAHORE+,PAKISTAN"
SADAR BAZAR TO CHUNGI MEHFOOZPURA,"604,800","1,353,600","SADAR+BAZAR+TO+CHUNGI+MEHFOOZPURA,LAHORE+,PAKISTAN"
SAHOWARI,"484,800","777,600","SAHOWARI,LAHORE+,PAKISTAN"
SAINT JOHN PARK,"657,600","1,310,400","SAINT+JOHN+PARK,LAHORE+,PAKISTAN"
TAJ BAGH SCHEME,"528,000","897,600","TAJ+BAGH+SCHEME,LAHORE+,PAKISTAN"
TAJ PURA,"369,600","868,800","TAJ+PURA,LAHORE+,PAKISTAN"
TAJPURA HOUSING SCHEME,"499,200","955,200","TAJPURA+HOUSING+SCHEME,LAHORE+,PAKISTAN"
"PARAGON CITY (DOGRAY KHURD,PHULARWAN & CLASS MARI)","180,000","859,200","PARAGON+CITY+(DOGRAY+KHURD,PHULARWAN+&+CLASS+MARI),LAHORE+,PAKISTAN"
GREEN CITY / SR DEVELOPERS (CLASS MARI),"628,800","1,233,600","GREEN+CITY+/+SR+DEVELOPERS+(CLASS+MARI),LAHORE+,PAKISTAN"
"DHA (PADRI, BHANGALI, CHAK BHARAT &DHOORI)","700,800","1,593,600","DHA+(PADRI,+BHANGALI,+CHAK+BHARAT+&DHOORI),LAHORE+,PAKISTAN"
GOHAWA & ADJOINING AREAS,"367,200","852,000","GOHAWA+&+ADJOINING+AREAS,LAHORE+,PAKISTAN"
AABKARI ROAD,-,"1,929,228","AABKARI+ROAD,LAHORE+,PAKISTAN"
ABBOTT ROAD,-,"2,318,316","ABBOTT+ROAD,LAHORE+,PAKISTAN"
ABDALI ROAD,"795,600","1,189,800","ABDALI+ROAD,LAHORE+,PAKISTAN"
ABDUL KAREEM ROAD(QILA GUJAR SINGH),"837,600","1,411,200","ABDUL+KAREEM+ROAD(QILA+GUJAR+SINGH),LAHORE+,PAKISTAN"
AFZAL ROAD SANDA (REVENUE ESTATENAWAN KOT),"795,600","1,105,800","AFZAL+ROAD+SANDA+(REVENUE+ESTATENAWAN+KOT),LAHORE+,PAKISTAN"
AIBAK ROAD,"1,029,600","1,690,200","AIBAK+ROAD,LAHORE+,PAKISTAN"
AL FAZAL PARK SANDA (REVENUE ESTATENAWAN KOT),"709,800","1,101,600","AL+FAZAL+PARK+SANDA+(REVENUE+ESTATENAWAN+KOT),LAHORE+,PAKISTAN"
ANARKALI (OLD),"1,450,800","2,178,000","ANARKALI+(OLD),LAHORE+,PAKISTAN"
ANSARI ROAD,"405,300","859,236","ANSARI+ROAD,LAHORE+,PAKISTAN"
ASHRAFIA COLONY SHADMAN,"841,800","1,156,200","ASHRAFIA+COLONY+SHADMAN,LAHORE+,PAKISTAN"
BAGH GUL BEGUM,"743,400","942,600","BAGH+GUL+BEGUM,LAHORE+,PAKISTAN"
BAGH MUNSHI LADHA,"705,600","913,200","BAGH+MUNSHI+LADHA,LAHORE+,PAKISTAN"
BAHAWALPUR ROAD,"846,000","1,310,400","BAHAWALPUR+ROAD,LAHORE+,PAKISTAN"
BANK SQUARE,-,"3,582,852","BANK+SQUARE,LAHORE+,PAKISTAN"
BEADON ROAD,-,"3,582,852","BEADON+ROAD,LAHORE+,PAKISTAN"
BEADON ROAD (STREETS),"1,080,600","1,610,400","BEADON+ROAD+(STREETS),LAHORE+,PAKISTAN"
BEGUM ROAD,"653,400","950,400","BEGUM+ROAD,LAHORE+,PAKISTAN"
BILAL GUNJ & ADJOINING ABADIES,"514,800","1,022,400","BILAL+GUNJ+&+ADJOINING+ABADIES,LAHORE+,PAKISTAN"
BILAL GANJ (KABARI MARKET),-,"1,296,960","BILAL+GANJ+(KABARI+MARKET),LAHORE+,PAKISTAN"
BIRD WOOD ROAD,-,"1,069,992","BIRD+WOOD+ROAD,LAHORE+,PAKISTAN"
BULL ROAD,-,"1,232,112","BULL+ROAD,LAHORE+,PAKISTAN"
BUND PAAR (WESTERN SIDE),"162,120","526,890","BUND+PAAR+(WESTERN+SIDE),LAHORE+,PAKISTAN"
BUND ROAD SAGGIAN TO TOLL PLAZA,"437,724","891,660","BUND+ROAD+SAGGIAN+TO+TOLL+PLAZA,LAHORE+,PAKISTAN"
CANAL BANK BOTH SIDE FALLING IN DGBT,"907,872","1,864,380","CANAL+BANK+BOTH+SIDE+FALLING+IN+DGBT,LAHORE+,PAKISTAN"
CAPTAIN JAMAL ROAD,"565,500","1,094,400","CAPTAIN+JAMAL+ROAD,LAHORE+,PAKISTAN"
CHAK JIA MUSA,"518,784","1,005,144","CHAK+JIA+MUSA,LAHORE+,PAKISTAN"
JIA MUSA BUND PAR,"194,544","534,996","JIA+MUSA+BUND+PAR,LAHORE+,PAKISTAN"
CHAK KOT BEGUM BUND PAR,"194,544","534,996","CHAK+KOT+BEGUM+BUND+PAR,LAHORE+,PAKISTAN"
CHAMBER LANE ROAD,-,"1,491,504","CHAMBER+LANE+ROAD,LAHORE+,PAKISTAN"
CHATTER JEE ROAD,-,"1,540,140","CHATTER+JEE+ROAD,LAHORE+,PAKISTAN"
CHOHAN PARK,"534,000","849,600","CHOHAN+PARK,LAHORE+,PAKISTAN"
CHOHAN PARK ROAD,-,"972,720","CHOHAN+PARK+ROAD,LAHORE+,PAKISTAN"
CHUBURJI CHOWK,-,"2,383,164","CHUBURJI+CHOWK,LAHORE+,PAKISTAN"
CHUBURJI PARK,"833,400","1,126,800","CHUBURJI+PARK,LAHORE+,PAKISTAN"
CHUBURJI PARK (NEW),"833,400","1,126,800","CHUBURJI+PARK+(NEW),LAHORE+,PAKISTAN"
CHURCH ROAD,-,"1,151,052","CHURCH+ROAD,LAHORE+,PAKISTAN"
CIRCULAR ROAD,-,"2,837,100","CIRCULAR+ROAD,LAHORE+,PAKISTAN"
COOPER ROAD,-,"2,350,740","COOPER+ROAD,LAHORE+,PAKISTAN"
COURT ROAD,"837,600","1,483,200","COURT+ROAD,LAHORE+,PAKISTAN"
COURT STREET,-,"1,167,264","COURT+STREET,LAHORE+,PAKISTAN"
DHANI RAM ROAD,"1,045,200","2,736,000","DHANI+RAM+ROAD,LAHORE+,PAKISTAN"
DANPUR LANE,"680,904","1,459,080","DANPUR+LANE,LAHORE+,PAKISTAN"
DATA GUNJ BAKSH ROAD,"841,800","1,168,800","DATA+GUNJ+BAKSH+ROAD,LAHORE+,PAKISTAN"
DAVIS ROAD,-,"2,918,160","DAVIS+ROAD,LAHORE+,PAKISTAN"
DAVIS ROAD BACKSIDE,-,"2,431,800","DAVIS+ROAD+BACKSIDE,LAHORE+,PAKISTAN"
DAVIS ROAD STREETS,"841,800","1,185,600","DAVIS+ROAD+STREETS,LAHORE+,PAKISTAN"
DAVREND ROAD,"599,844","1,540,140","DAVREND+ROAD,LAHORE+,PAKISTAN"
DAVSMAJ ROAD,"628,200","951,000","DAVSMAJ+ROAD,LAHORE+,PAKISTAN"
DHOOP SARI,"525,600","892,800","DHOOP+SARI,LAHORE+,PAKISTAN"
ANARKALI (NEW),-,"3,550,428","ANARKALI+(NEW),LAHORE+,PAKISTAN"
DHOBI MANDI,"795,600","1,302,600","DHOBI+MANDI,LAHORE+,PAKISTAN"
EGERTON ROAD BACK,-,"2,610,132","EGERTON+ROAD+BACK,LAHORE+,PAKISTAN"
EGERTON ROAD FRONT,-,"3,923,304","EGERTON+ROAD+FRONT,LAHORE+,PAKISTAN"
EDWARD ROAD,"955,200","1,437,000","EDWARD+ROAD,LAHORE+,PAKISTAN"
EMPMRESS ROAD BACK,"933,600","1,547,400","EMPMRESS+ROAD+BACK,LAHORE+,PAKISTAN"
EMPRESS ROAD FRONT,"958,800","1,551,600","EMPRESS+ROAD+FRONT,LAHORE+,PAKISTAN"
FANE ROAD,-,"1,540,140","FANE+ROAD,LAHORE+,PAKISTAN"
FARID COURT ROAD,"955,200","1,368,000","FARID+COURT+ROAD,LAHORE+,PAKISTAN"
FARID COURT STREETS,"661,800","1,160,400","FARID+COURT+STREETS,LAHORE+,PAKISTAN"
FATEH SHER ROAD,"670,200","1,267,200","FATEH+SHER+ROAD,LAHORE+,PAKISTAN"
FAZLIA COLONY,"657,600","1,123,200","FAZLIA+COLONY,LAHORE+,PAKISTAN"
FEROZPUR ROAD (KACHA),"661,800","1,123,200","FEROZPUR+ROAD+(KACHA),LAHORE+,PAKISTAN"
FEROZPUR ROAD (MOZANG CHUNGI TO SHAMACHOWK),-,"3,047,856","FEROZPUR+ROAD+(MOZANG+CHUNGI+TO+SHAMACHOWK),LAHORE+,PAKISTAN"
FEROZPUR ROAD (SHAMA CHOWK TO CANALBANK),-,"3,047,856","FEROZPUR+ROAD+(SHAMA+CHOWK+TO+CANALBANK),LAHORE+,PAKISTAN"
FIRDOUS PARK,"709,800","930,000","FIRDOUS+PARK,LAHORE+,PAKISTAN"
FLEMING ROAD,"1,051,200","1,445,400","FLEMING+ROAD,LAHORE+,PAKISTAN"
GANPAT ROAD,"1,017,600","1,742,400","GANPAT+ROAD,LAHORE+,PAKISTAN"
GILLANI PARK NEAR BILAL GUNJ,"791,400","1,131,000","GILLANI+PARK+NEAR+BILAL+GUNJ,LAHORE+,PAKISTAN"
GOLDING ROAD,"664,692","10,080,000","GOLDING+ROAD,LAHORE+,PAKISTAN"
GOLF ROAD,"1,334,760","1,621,200","GOLF+ROAD,LAHORE+,PAKISTAN"
GAWAL MANDI,"1,005,000","1,935,000","GAWAL+MANDI,LAHORE+,PAKISTAN"
GULSHAN RAVI,"883,800","1,368,000","GULSHAN+RAVI,LAHORE+,PAKISTAN"
GUNJA KALAN & ADJONING ABADIES,"405,300","891,660","GUNJA+KALAN+&+ADJONING+ABADIES,LAHORE+,PAKISTAN"
GUNJA KALAN (WESTER SIDE),"145,908","486,360","GUNJA+KALAN+(WESTER+SIDE),LAHORE+,PAKISTAN"
HABIB GUNJ,"619,800","1,118,400","HABIB+GUNJ,LAHORE+,PAKISTAN"
HALL ROAD,"1,783,320","4,182,696","HALL+ROAD,LAHORE+,PAKISTAN"
HOSPITAL ROAD,-,"1,280,748","HOSPITAL+ROAD,LAHORE+,PAKISTAN"
HUSSAIN STREETS ICHRA,-,"1,410,444","HUSSAIN+STREETS+ICHRA,LAHORE+,PAKISTAN"
IBRAHIM ROAD,"795,600","1,185,600","IBRAHIM+ROAD,LAHORE+,PAKISTAN"
ICHRA & ADJONING ABADIS,"854,400","1,324,800","ICHRA+&+ADJONING+ABADIS,LAHORE+,PAKISTAN"
ISLAM GUNJ (NEAR BILAL GUNJ),"421,512","1,005,144","ISLAM+GUNJ+(NEAR+BILAL+GUNJ),LAHORE+,PAKISTAN"
ISLAMIA PARK (POONCH ROAD),"816,600","1,114,200","ISLAMIA+PARK+(POONCH+ROAD),LAHORE+,PAKISTAN"
ISLAMPURA,"992,400","1,344,600","ISLAMPURA,LAHORE+,PAKISTAN"
ITTEFAQ COLONY SANDA,"636,600","930,000","ITTEFAQ+COLONY+SANDA,LAHORE+,PAKISTAN"
JAIL ROAD,-,"3,728,760","JAIL+ROAD,LAHORE+,PAKISTAN"
JAIL ROAD (KACHA),"1,097,400","1,929,600","JAIL+ROAD+(KACHA),LAHORE+,PAKISTAN"
JAIL ROAD ADJOINING ABADIES,"703,800","1,497,600","JAIL+ROAD+ADJOINING+ABADIES,LAHORE+,PAKISTAN"
JIA MUSA FALLING IN DGB TOW,"538,200","720,600","JIA+MUSA+FALLING+IN+DGB+TOW,LAHORE+,PAKISTAN"
JOY SHAH,"421,512","875,448","JOY+SHAH,LAHORE+,PAKISTAN"
KACHERY ROAD,"778,176","1,702,260","KACHERY+ROAD,LAHORE+,PAKISTAN"
KAMAL GUNJ NEAR BILAL GUNJ,"437,724","1,005,144","KAMAL+GUNJ+NEAR+BILAL+GUNJ,LAHORE+,PAKISTAN"
DIL KUSHA ROAD,"421,512","859,236","DIL+KUSHA+ROAD,LAHORE+,PAKISTAN"
KASHMIR ROAD FRONT,-,"2,950,584","KASHMIR+ROAD+FRONT,LAHORE+,PAKISTAN"
KASUR PURA,"795,600","1,084,800","KASUR+PURA,LAHORE+,PAKISTAN"
LAHORE ROAD,"551,208","1,280,748","LAHORE+ROAD,LAHORE+,PAKISTAN"
LAKE ROAD,"875,400","1,396,800","LAKE+ROAD,LAHORE+,PAKISTAN"
LANDA BAZAR,-,"2,188,620","LANDA+BAZAR,LAHORE+,PAKISTAN"
LANDA BAZAR & ADJONING ABADIES,"599,844","2,188,620","LANDA+BAZAR+&+ADJONING+ABADIES,LAHORE+,PAKISTAN"
LAWRENCE ROAD,"1,072,200","1,445,400","LAWRENCE+ROAD,LAHORE+,PAKISTAN"
LOWER MALL,"1,110,000","1,728,000","LOWER+MALL,LAHORE+,PAKISTAN"
LYTON ROAD,"1,944,000","6,696,000","LYTON+ROAD,LAHORE+,PAKISTAN"
MACLAGAN ROAD,-,"1,507,716","MACLAGAN+ROAD,LAHORE+,PAKISTAN"
McLEOD ROAD,-,"2,691,192","McLEOD+ROAD,LAHORE+,PAKISTAN"
MAIN BUND ROAD (BOTH SIDES),-,"1,410,444","MAIN+BUND+ROAD+(BOTH+SIDES),LAHORE+,PAKISTAN"
MOZANG,"1,442,400","2,140,200","MOZANG,LAHORE+,PAKISTAN"
MALIPURA,"551,208","875,448","MALIPURA,LAHORE+,PAKISTAN"
MALL ROAD (PMG CHOWK TO CANAL),-,"4,944,660","MALL+ROAD+(PMG+CHOWK+TO+CANAL),LAHORE+,PAKISTAN"
MANZOOR PARK & ADJOINING ABADIES,"437,724","875,448","MANZOOR+PARK+&+ADJOINING+ABADIES,LAHORE+,PAKISTAN"
MASSON ROAD,"907,872","1,572,564","MASSON+ROAD,LAHORE+,PAKISTAN"
MELLA RAM ROAD (BHATI GATE),"697,116","1,378,020","MELLA+RAM+ROAD+(BHATI+GATE),LAHORE+,PAKISTAN"
MISSION ROAD,"778,176","1,616,160","MISSION+ROAD,LAHORE+,PAKISTAN"
MOHALLAH DAR-UL-SHAKOOH (LANDABAZAR),"729,540","1,616,160","MOHALLAH+DAR-UL-SHAKOOH+(LANDABAZAR),LAHORE+,PAKISTAN"
MONTGOMERY ROAD,-,"3,274,824","MONTGOMERY+ROAD,LAHORE+,PAKISTAN"
MOZANG NEW,"1,095,000","1,432,800","MOZANG+NEW,LAHORE+,PAKISTAN"
MOZANG ROAD,"745,752","1,580,670","MOZANG+ROAD,LAHORE+,PAKISTAN"
MUHAMMADI PARK,"421,512","921,600","MUHAMMADI+PARK,LAHORE+,PAKISTAN"
MULTAN ROAD (CHOWK CHUBURGI TOYATEEM KHANA),"810,600","1,459,080","MULTAN+ROAD+(CHOWK+CHUBURGI+TOYATEEM+KHANA),LAHORE+,PAKISTAN"
MURLIDHAR ROAD,"567,420","1,378,020","MURLIDHAR+ROAD,LAHORE+,PAKISTAN"
NABHA ROAD OLD ANARKALI,-,"2,107,560","NABHA+ROAD+OLD+ANARKALI,LAHORE+,PAKISTAN"
NADEEM PARK SANDA,"421,512","1,005,144","NADEEM+PARK+SANDA,LAHORE+,PAKISTAN"
NAPIER ROAD,-,"1,167,264","NAPIER+ROAD,LAHORE+,PAKISTAN"
NASEER UD DIN ROAD,"583,632","1,232,112","NASEER+UD+DIN+ROAD,LAHORE+,PAKISTAN"
NATIONAL PARK / TOWN SANDA,"421,512","1,134,840","NATIONAL+PARK+/+TOWN+SANDA,LAHORE+,PAKISTAN"
NAULAKHA & ADJOINING ABADIES,"583,632","1,540,140","NAULAKHA+&+ADJOINING+ABADIES,LAHORE+,PAKISTAN"
NAULAKHA BAZAR,-,"2,156,196","NAULAKHA+BAZAR,LAHORE+,PAKISTAN"
NAWANKOT,"653,400","1,080,000","NAWANKOT,LAHORE+,PAKISTAN"
NICHLSON ROAD,"810,600","2,156,196","NICHLSON+ROAD,LAHORE+,PAKISTAN"
NICHOLSON ROAD STREET,"583,632","1,378,020","NICHOLSON+ROAD+STREET,LAHORE+,PAKISTAN"
NILA GUMBAD,-,"2,837,100","NILA+GUMBAD,LAHORE+,PAKISTAN"
NISBAT ROAD,-,"1,621,200","NISBAT+ROAD,LAHORE+,PAKISTAN"
NISHTER ROAD (BOTH SIDES),-,"4,409,664","NISHTER+ROAD+(BOTH+SIDES),LAHORE+,PAKISTAN"
OUT FALL ROAD,"453,936","1,378,020","OUT+FALL+ROAD,LAHORE+,PAKISTAN"
PAISA AKHBAR ANARKALI,-,"1,418,550","PAISA+AKHBAR+ANARKALI,LAHORE+,PAKISTAN"
KASHMIR ROAD BACK,-,"2,156,196","KASHMIR+ROAD+BACK,LAHORE+,PAKISTAN"
PAHALA GROUND,"1,068,000","1,944,000","PAHALA+GROUND,LAHORE+,PAKISTAN"
POONCH ROAD CHUBURJI TO GANDA NALA,"661,800","1,281,600","POONCH+ROAD+CHUBURJI+TO+GANDA+NALA,LAHORE+,PAKISTAN"
QADIR COLONY SANDA,"421,512","875,448","QADIR+COLONY+SANDA,LAHORE+,PAKISTAN"
QAZALBASH ROAD,-,"1,653,624","QAZALBASH+ROAD,LAHORE+,PAKISTAN"
QILA GUJAR SING & ADJOINIGN ABADIES,"616,056","1,653,624","QILA+GUJAR+SING+&+ADJOINIGN+ABADIES,LAHORE+,PAKISTAN"
QILA HAKEEMAN,"470,148","875,448","QILA+HAKEEMAN,LAHORE+,PAKISTAN"
QUEENS ROAD,"891,660","2,966,796","QUEENS+ROAD,LAHORE+,PAKISTAN"
RACE COURSE ROAD,-,"2,188,620","RACE+COURSE+ROAD,LAHORE+,PAKISTAN"
RAILWAY ROAD,"778,176","1,556,352","RAILWAY+ROAD,LAHORE+,PAKISTAN"
RAJ GARH & ADJONING ABADIES,"1,138,800","1,491,000","RAJ+GARH+&+ADJONING+ABADIES,LAHORE+,PAKISTAN"
RAJ GARH (OLD RIFLE RANGE),"429,618","1,151,052","RAJ+GARH+(OLD+RIFLE+RANGE),LAHORE+,PAKISTAN"
RAJ GARH ROAD,"1,356,600","1,635,600","RAJ+GARH+ROAD,LAHORE+,PAKISTAN"
RAJGARH MAIN BAZAR,-,"1,361,808","RAJGARH+MAIN+BAZAR,LAHORE+,PAKISTAN"
RAJAN CHAND ROAD,"729,540","1,361,808","RAJAN+CHAND+ROAD,LAHORE+,PAKISTAN"
RATIGUN ROAD,"534,996","1,151,052","RATIGUN+ROAD,LAHORE+,PAKISTAN"
RAVI COLONY,"534,996","1,232,112","RAVI+COLONY,LAHORE+,PAKISTAN"
RAVI ROAD,-,"2,188,620","RAVI+ROAD,LAHORE+,PAKISTAN"
RAVI ROAD (KACHA),"421,512","1,134,840","RAVI+ROAD+(KACHA),LAHORE+,PAKISTAN"
REHMAN (STREETS),"843,024","2,350,740","REHMAN+(STREETS),LAHORE+,PAKISTAN"
REWAZ  GAREDN,"745,752","1,588,776","REWAZ++GAREDN,LAHORE+,PAKISTAN"
REBERT ROAD,"697,116","1,167,264","REBERT+ROAD,LAHORE+,PAKISTAN"
ROYAL PARK,-,"1,702,260","ROYAL+PARK,LAHORE+,PAKISTAN"
SAADI PARK (MOZANG),"518,784","1,118,628","SAADI+PARK+(MOZANG),LAHORE+,PAKISTAN"
SANDA KALAN & ADJOINING ADJOININGABADIES,"795,600","1,131,000","SANDA+KALAN+&+ADJOINING+ADJOININGABADIES,LAHORE+,PAKISTAN"
SANDA KHYRD AND ADJOINING ABADIES,"624,000","892,200","SANDA+KHYRD+AND+ADJOINING+ABADIES,LAHORE+,PAKISTAN"
SANDA KHURD /KANAL (WESTEREN SIDEACROSS BUND,"305,700","576,000","SANDA+KHURD+/KANAL+(WESTEREN+SIDEACROSS+BUND,LAHORE+,PAKISTAN"
SANDA ROAD,"514,800","1,180,800","SANDA+ROAD,LAHORE+,PAKISTAN"
SANAT NAGAR,"1,143,000","1,428,000","SANAT+NAGAR,LAHORE+,PAKISTAN"
SARAI SULTAN,"567,420","1,151,052","SARAI+SULTAN,LAHORE+,PAKISTAN"
SHADMAN,"1,080,600","2,188,800","SHADMAN,LAHORE+,PAKISTAN"
