area,res_value_marla,com_value_marla,address
ENGINEERING  COOP SOCIETY LTD,"392,700","524,700","ENGINEERING++COOP+SOCIETY+LTD,LAHORE+,PAKISTAN"
"G,C,P COOP SOCIEITY LIMITED","692,100","967,800","G,C,P+COOP+SOCIEITY+LIMITED,LAHORE+,PAKISTAN"
GHULAM GHOUS WALA,"264,900","513,000","GHULAM+GHOUS+WALA,LAHORE+,PAKISTAN"
GHULAM GHOUS WALA AND SOCIETIES ANDTOWNS,"384,300","661,800","GHULAM+GHOUS+WALA+AND+SOCIETIES+ANDTOWNS,LAHORE+,PAKISTAN"
GOPAY RAI,"224,100","512,100","GOPAY+RAI,LAHORE+,PAKISTAN"
GOSHA AHBAB PHASE I&II,"427,200","759,300","GOSHA+AHBAB+PHASE+I&II,LAHORE+,PAKISTAN"
GOSHA AHBAB PHASE -III,"423,000","717,300","GOSHA+AHBAB+PHASE+-III,LAHORE+,PAKISTAN"
GOVT OFFICERS COOP SOCIETY LTD,"380,100","703,800","GOVT+OFFICERS+COOP+SOCIETY+LTD,LAHORE+,PAKISTAN"
GREEN FORTEES PAHASE-I&II,"550,800","913,200","GREEN+FORTEES+PAHASE-I&II,LAHORE+,PAKISTAN"
GREEN FORTEES PAHASE-III,"534,000","6,840,000","GREEN+FORTEES+PAHASE-III,LAHORE+,PAKISTAN"
HAMEED PARK CHAK MOZANG,"524,700","1,066,200","HAMEED+PARK+CHAK+MOZANG,LAHORE+,PAKISTAN"
HANJARWAL,"392,700","696,300","HANJARWAL,LAHORE+,PAKISTAN"
HANJARWAL ALL SOCIETIES AND TOWNS,"392,700","696,300","HANJARWAL+ALL+SOCIETIES+AND+TOWNS,LAHORE+,PAKISTAN"
HASSAN TOWN,"452,400","819,000","HASSAN+TOWN,LAHORE+,PAKISTAN"
"I,E,P,M. (INSTUTUTE EMPLOYEE PAKISTAN)","524,700","842,400","I,E,P,M.+(INSTUTUTE+EMPLOYEE+PAKISTAN),LAHORE+,PAKISTAN"
IQBAL AVENUE,"567,600","889,200","IQBAL+AVENUE,LAHORE+,PAKISTAN"
JALAL PARK NIAZ BAIG,"349,800","597,000","JALAL+PARK+NIAZ+BAIG,LAHORE+,PAKISTAN"
JHUGIAN NAGARA,"290,100","633,600","JHUGIAN+NAGARA,LAHORE+,PAKISTAN"
JHUGIAN SHAHAB DIN,"374,400","782,400","JHUGIAN+SHAHAB+DIN,LAHORE+,PAKISTAN"
AMIR KOT (Old Abaadi),"209,400","316,200","AMIR+KOT+(Old+Abaadi),LAHORE+,PAKISTAN"
JOHAR TOWN,"561,600","1,224,000","JOHAR+TOWN,LAHORE+,PAKISTAN"
JOHAR TOWN MAIN ROADS,"699,600","1,416,000","JOHAR+TOWN+MAIN+ROADS,LAHORE+,PAKISTAN"
JUDICIAL COLONY.,"349,800","784,500","JUDICIAL+COLONY.,LAHORE+,PAKISTAN"
KAKEZAE,"298,500","590,700","KAKEZAE,LAHORE+,PAKISTAN"
KANJRA,"360,300","703,800","KANJRA,LAHORE+,PAKISTAN"
KATAR BUND ROAD,"296,400","588,600","KATAR+BUND+ROAD,LAHORE+,PAKISTAN"
KHADIJA PARK,"285,900","543,600","KHADIJA+PARK,LAHORE+,PAKISTAN"
KHALIQABAD,"358,200","631,500","KHALIQABAD,LAHORE+,PAKISTAN"
KHAMBA,"217,440","388,050","KHAMBA,LAHORE+,PAKISTAN"
KHARK,"339,300","590,700","KHARK,LAHORE+,PAKISTAN"
KIBIRIA TOWN,"181,200","392,250","KIBIRIA+TOWN,LAHORE+,PAKISTAN"
KOT KAMBOO,"362,400","660,900","KOT+KAMBOO,LAHORE+,PAKISTAN"
KOT MUHAMMADI,"347,904","601,200","KOT+MUHAMMADI,LAHORE+,PAKISTAN"
LALAZAR COLONY AND JUDICIAL COOPSOCIETY,"371,700","520,500","LALAZAR+COLONY+AND+JUDICIAL+COOPSOCIETY,LAHORE+,PAKISTAN"
LALAZAR MARKET,-,"874,500","LALAZAR+MARKET,LAHORE+,PAKISTAN"
LDA AVENUE-1,"313,800","446,400","LDA+AVENUE-1,LAHORE+,PAKISTAN"
LDA EMPLOYEES COOP SOCIETY LTD,"290,100","469,200","LDA+EMPLOYEES+COOP+SOCIETY+LTD,LAHORE+,PAKISTAN"
MAIN BAZR CHUNG,-,"810,600","MAIN+BAZR+CHUNG,LAHORE+,PAKISTAN"
MAIRA GHAR FLATS ALI RAZA ABAD & AHMADNAGAR,"417,900","714,300","MAIRA+GHAR+FLATS+ALI+RAZA+ABAD+&+AHMADNAGAR,LAHORE+,PAKISTAN"
MANSOORA,"411,600","644,100","MANSOORA,LAHORE+,PAKISTAN"
MANZOOR PARK ALONGWITH COLONIES,"409,500","695,400","MANZOOR+PARK+ALONGWITH+COLONIES,LAHORE+,PAKISTAN"
MARAKA,"174,900","358,200","MARAKA,LAHORE+,PAKISTAN"
MARGAZAR COLONY,"319,950","695,400","MARGAZAR+COLONY,LAHORE+,PAKISTAN"
MATEEN AVENUE,"341,400","588,600","MATEEN+AVENUE,LAHORE+,PAKISTAN"
MEHNDIPUR,"115,200","174,900","MEHNDIPUR,LAHORE+,PAKISTAN"
MIRAJ PARK (KHARAK),"524,700","870,300","MIRAJ+PARK+(KHARAK),LAHORE+,PAKISTAN"
MOHAFIZ TOWN,"448,200","782,100","MOHAFIZ+TOWN,LAHORE+,PAKISTAN"
MOHLANWAL,"191,880","358,650","MOHLANWAL,LAHORE+,PAKISTAN"
MOULANA SHAUKAT ALI ROAD,-,"1,864,200","MOULANA+SHAUKAT+ALI+ROAD,LAHORE+,PAKISTAN"
MUHAMMAD SULTANBAD,"460,800","866,100","MUHAMMAD+SULTANBAD,LAHORE+,PAKISTAN"
MULTAN ROAD CHUNGI TO THOKAR,"660,900","1,315,500","MULTAN+ROAD+CHUNGI+TO+THOKAR,LAHORE+,PAKISTAN"
MULTAN ROAD THOKAR TO MANGA MANDI,-,"870,300","MULTAN+ROAD+THOKAR+TO+MANGA+MANDI,LAHORE+,PAKISTAN"
MUREEDWAL,"298,500","823,200","MUREEDWAL,LAHORE+,PAKISTAN"
MUSTAFA TOWN (NIAZ BEG) JURISDICION INIQBAL TOWN,"527,700","832,500","MUSTAFA+TOWN+(NIAZ+BEG)+JURISDICION+INIQBAL+TOWN,LAHORE+,PAKISTAN"
NASIR ABAD,"174,900","174,900","NASIR+ABAD,LAHORE+,PAKISTAN"
NAWAB TOWN (RAKH KHAMBA),"401,100","691,200","NAWAB+TOWN+(RAKH+KHAMBA),LAHORE+,PAKISTAN"
NESPAK SCHEME,"405,300","653,400","NESPAK+SCHEME,LAHORE+,PAKISTAN"
N.F.C. EMPLOYEES COOP SOCIETY,"362,580","631,500","N.F.C.+EMPLOYEES+COOP+SOCIETY,LAHORE+,PAKISTAN"
NIAZ BEG,"290,100","567,600","NIAZ+BEG,LAHORE+,PAKISTAN"
NIAZ BEG ALL SOCIETIES,"349,800","631,500","NIAZ+BEG+ALL+SOCIETIES,LAHORE+,PAKISTAN"
NISHEMAN IQBAL SOCIETY,"477,600","891,300","NISHEMAN+IQBAL+SOCIETY,LAHORE+,PAKISTAN"
OVERSEAS SOCIETY,"477,600","891,300","OVERSEAS+SOCIETY,LAHORE+,PAKISTAN"
PAKISTAN ELECTION COMMISSION EMPLOYEESCOOP SOCIETY,"288,000","473,400","PAKISTAN+ELECTION+COMMISSION+EMPLOYEESCOOP+SOCIETY,LAHORE+,PAKISTAN"
PAKISTAN EXPATRIATES COOP SOCIETY(VALENCIA TOWN),"555,000","1,076,400","PAKISTAN+EXPATRIATES+COOP+SOCIETY(VALENCIA+TOWN),LAHORE+,PAKISTAN"
PAKISTAN RAJPUT SOCIETY,"516,300","699,600","PAKISTAN+RAJPUT+SOCIETY,LAHORE+,PAKISTAN"
PAKISTAN TEHOCRAT COOP SOCIETY,"405,300","780,300","PAKISTAN+TEHOCRAT+COOP+SOCIETY,LAHORE+,PAKISTAN"
