,vor_id,occurances-food,occurances-grocery_or_supermarket,occurances-mosque,occurances-point_of_interest,occurances-restaurant,occurances-school
104,vor228,4.0,1.0,3.0,128.0,11.0,6.0
105,vor229,2.0,0.0,2.0,113.0,2.0,25.0
106,vor230,8.0,8.0,6.0,78.0,20.0,13.0
107,vor231,6.0,1.0,9.0,103.0,8.0,10.0
108,vor232,2.0,0.0,4.0,186.0,10.0,6.0
109,vor233,14.0,5.0,19.0,209.0,20.0,10.0
110,vor234,5.0,5.0,8.0,77.0,26.0,7.0
111,vor235,7.0,3.0,10.0,66.0,13.0,13.0
112,vor236,0.0,0.0,0.0,2.0,0.0,0.0
113,vor237,0.0,0.0,3.0,8.0,0.0,1.0
114,vor238,0.0,0.0,0.0,3.0,0.0,0.0
115,vor245,1.0,0.0,0.0,13.0,0.0,0.0
116,vor248,1.0,1.0,0.0,4.0,0.0,1.0
117,vor249,6.0,2.0,1.0,145.0,2.0,3.0
118,vor250,14.0,6.0,7.0,93.0,9.0,14.0
119,vor251,5.0,3.0,4.0,104.0,11.0,15.0
120,vor252,3.0,1.0,1.0,147.0,3.0,14.0
121,vor253,3.0,5.0,7.0,123.0,10.0,17.0
122,vor254,5.0,0.0,3.0,122.0,5.0,21.0
123,vor255,2.0,0.0,6.0,134.0,4.0,6.0
124,vor256,6.0,1.0,5.0,155.0,11.0,1.0
125,vor257,3.0,2.0,8.0,210.0,6.0,2.0
126,vor258,2.0,6.0,8.0,143.0,5.0,5.0
127,vor259,11.0,5.0,9.0,100.0,14.0,15.0
128,vor268,0.0,0.0,0.0,4.0,0.0,0.0
129,vor269,1.0,0.0,0.0,6.0,0.0,0.0
130,vor270,0.0,0.0,0.0,2.0,0.0,0.0
131,vor271,0.0,0.0,0.0,6.0,0.0,1.0
132,vor272,13.0,11.0,7.0,93.0,5.0,21.0
133,vor273,11.0,11.0,9.0,103.0,7.0,22.0
134,vor274,10.0,3.0,2.0,90.0,22.0,15.0
135,vor275,4.0,5.0,1.0,71.0,10.0,9.0
136,vor276,10.0,5.0,3.0,125.0,18.0,16.0
137,vor277,5.0,1.0,2.0,183.0,12.0,21.0
138,vor278,2.0,1.0,2.0,251.0,9.0,8.0
139,vor279,5.0,1.0,3.0,127.0,5.0,15.0
140,vor280,20.0,1.0,7.0,137.0,23.0,21.0
141,vor281,5.0,6.0,10.0,70.0,12.0,17.0
142,vor282,14.0,8.0,15.0,87.0,21.0,33.0
143,vor283,17.0,5.0,15.0,78.0,4.0,28.0
144,vor284,0.0,0.0,0.0,0.0,0.0,1.0
145,vor290,0.0,0.0,0.0,1.0,0.0,0.0
146,vor291,12.0,2.0,12.0,120.0,11.0,27.0
147,vor292,5.0,2.0,4.0,119.0,5.0,9.0
148,vor293,10.0,4.0,2.0,86.0,3.0,17.0
149,vor294,16.0,10.0,18.0,137.0,16.0,29.0
150,vor295,7.0,7.0,8.0,71.0,10.0,26.0
151,vor296,11.0,6.0,5.0,102.0,5.0,6.0
152,vor297,6.0,2.0,1.0,127.0,4.0,2.0
153,vor298,5.0,3.0,14.0,107.0,8.0,23.0
154,vor299,8.0,4.0,5.0,181.0,15.0,13.0
155,vor300,1.0,2.0,3.0,59.0,2.0,10.0
156,vor301,1.0,0.0,3.0,54.0,11.0,2.0
157,vor302,4.0,5.0,7.0,78.0,14.0,16.0
158,vor303,18.0,0.0,10.0,76.0,16.0,10.0
159,vor304,12.0,4.0,12.0,77.0,9.0,30.0
160,vor305,11.0,5.0,11.0,97.0,6.0,31.0
161,vor306,18.0,2.0,4.0,88.0,3.0,12.0
162,vor315,0.0,0.0,0.0,4.0,0.0,2.0
163,vor317,0.0,0.0,0.0,5.0,0.0,1.0
164,vor318,0.0,0.0,1.0,5.0,0.0,1.0
165,vor319,0.0,0.0,0.0,7.0,0.0,0.0
166,vor320,1.0,2.0,6.0,48.0,8.0,6.0
167,vor321,5.0,5.0,5.0,133.0,23.0,11.0
168,vor322,7.0,4.0,2.0,85.0,10.0,8.0
169,vor323,10.0,6.0,2.0,73.0,15.0,8.0
170,vor324,1.0,0.0,4.0,48.0,8.0,8.0
171,vor325,0.0,1.0,2.0,51.0,2.0,10.0
172,vor326,11.0,12.0,9.0,128.0,31.0,15.0
173,vor327,8.0,6.0,17.0,74.0,9.0,15.0
174,vor328,21.0,7.0,13.0,109.0,12.0,25.0
175,vor329,23.0,12.0,18.0,109.0,27.0,33.0
176,vor330,2.0,1.0,6.0,66.0,0.0,5.0
