,Unnamed: 0,hhcode,Province,Region,PSU,idc,first_job_income,second_job_income,psu,weight,district,stratum,code
10364,47002,2502100609.0,Punjab,Urban,25021006.0,1.0,22000.0,,25021006.0,1909.3531777956557,2502,LAHORE,2502.0
10365,47005,2502100610.0,Punjab,Urban,25021006.0,1.0,5000.0,,25021006.0,1909.3531777956557,2502,LAHORE,2502.0
10366,47006,2502100610.0,Punjab,Urban,25021006.0,2.0,7000.0,,25021006.0,1909.3531777956557,2502,LAHORE,2502.0
10367,47007,2502100610.0,Punjab,Urban,25021006.0,3.0,6000.0,,25021006.0,1909.3531777956557,2502,LAHORE,2502.0
10368,47008,2502100610.0,Punjab,Urban,25021006.0,4.0,7000.0,,25021006.0,1909.3531777956557,2502,LAHORE,2502.0
10369,47009,2502100610.0,Punjab,Urban,25021006.0,5.0,2000.0,,25021006.0,1909.3531777956557,2502,LAHORE,2502.0
10370,47010,2502100610.0,Punjab,Urban,25021006.0,6.0,7000.0,,25021006.0,1909.3531777956557,2502,LAHORE,2502.0
10371,47011,2502100610.0,Punjab,Urban,25021006.0,51.0,1200.0,,25021006.0,1909.3531777956557,2502,LAHORE,2502.0
10372,47015,2502100610.0,Punjab,Urban,25021006.0,55.0,1200.0,,25021006.0,1909.3531777956557,2502,LAHORE,2502.0
10373,47016,2502100612.0,Punjab,Urban,25021006.0,1.0,12000.0,,25021006.0,1909.3531777956557,2502,LAHORE,2502.0
10374,47017,2502100612.0,Punjab,Urban,25021006.0,2.0,15000.0,,25021006.0,1909.3531777956557,2502,LAHORE,2502.0
10375,47024,2502101001.0,Punjab,Urban,25021010.0,1.0,18000.0,,25021010.0,1841.1279956948097,2502,LAHORE,2502.0
10376,47028,2502101001.0,Punjab,Urban,25021010.0,52.0,10000.0,,25021010.0,1841.1279956948097,2502,LAHORE,2502.0
10377,47029,2502101002.0,Punjab,Urban,25021010.0,1.0,26000.0,,25021010.0,1841.1279956948097,2502,LAHORE,2502.0
10378,47030,2502101002.0,Punjab,Urban,25021010.0,2.0,11000.0,,25021010.0,1841.1279956948097,2502,LAHORE,2502.0
10379,47034,2502101004.0,Punjab,Urban,25021010.0,1.0,80000.0,,25021010.0,1841.1279956948097,2502,LAHORE,2502.0
10380,47038,2502101005.0,Punjab,Urban,25021010.0,1.0,9000.0,,25021010.0,1841.1279956948097,2502,LAHORE,2502.0
10381,47039,2502101005.0,Punjab,Urban,25021010.0,2.0,13000.0,,25021010.0,1841.1279956948097,2502,LAHORE,2502.0
10382,47040,2502101005.0,Punjab,Urban,25021010.0,3.0,13000.0,,25021010.0,1841.1279956948097,2502,LAHORE,2502.0
10383,47041,2502101005.0,Punjab,Urban,25021010.0,4.0,10000.0,,25021010.0,1841.1279956948097,2502,LAHORE,2502.0
10384,47044,2502101007.0,Punjab,Urban,25021010.0,2.0,45000.0,,25021010.0,1841.1279956948097,2502,LAHORE,2502.0
10385,47045,2502101007.0,Punjab,Urban,25021010.0,3.0,3000.0,,25021010.0,1841.1279956948097,2502,LAHORE,2502.0
10386,47049,2502101008.0,Punjab,Urban,25021010.0,1.0,46000.0,,25021010.0,1841.1279956948097,2502,LAHORE,2502.0
10387,47053,2502101009.0,Punjab,Urban,25021010.0,1.0,28000.0,,25021010.0,1841.1279956948097,2502,LAHORE,2502.0
10388,47054,2502101009.0,Punjab,Urban,25021010.0,2.0,27000.0,,25021010.0,1841.1279956948097,2502,LAHORE,2502.0
10389,47055,2502101009.0,Punjab,Urban,25021010.0,3.0,30000.0,,25021010.0,1841.1279956948097,2502,LAHORE,2502.0
10390,47056,2502101009.0,Punjab,Urban,25021010.0,4.0,26000.0,,25021010.0,1841.1279956948097,2502,LAHORE,2502.0
